Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
original,shape,Elongation,0.349484186,0.074000935,0.764996895
original,shape,Flatness,0.113779558,0.065739907,0.450502758
original,shape,LeastAxisLength,1.314256028,5.179215085,1.665646265
original,shape,MajorAxisLength,11.55089764,78.78342628,3.697305365
original,shape,Maximum2DDiameterColumn,11.18033989,9.848857802,4.123105626
original,shape,Maximum2DDiameterRow,12.04159458,48.37354649,4.123105626
original,shape,Maximum2DDiameterSlice,5,6.32455532,3.16227766
original,shape,Maximum3DDiameter,12.20655562,48.63126566,4.242640687
original,shape,MeshVolume,34.79166667,49.70833333,8.625
original,shape,MinorAxisLength,4.036856055,5.830047224,2.828427125
original,shape,Sphericity,0.560034779,0.381356675,0.79559386
original,shape,SurfaceArea,92.02785126,171.4374009,25.56419397
original,shape,SurfaceVolumeRatio,2.645111892,3.448866405,2.963964518
original,shape,VoxelVolume,42,72,12
original,firstorder,10Percentile,43.1,67,229.7
original,firstorder,90Percentile,57.9,156.5,712.5
original,firstorder,Energy,112985,865403,2637584
original,firstorder,Entropy,1.138097714,2.385584763,3.084962501
original,firstorder,InterquartileRange,7,46.5,410.5
original,firstorder,Kurtosis,7.094818445,3.503477848,1.5231184
original,firstorder,Maximum,80,205,726
original,firstorder,MeanAbsoluteDeviation,5.29138322,28.2654321,187.5
original,firstorder,Mean,51.30952381,103.7638889,423
original,firstorder,Median,49.5,96.5,321.5
original,firstorder,Minimum,40,60,222
original,firstorder,Range,40,145,504
original,firstorder,RobustMeanAbsoluteDeviation,2.90234375,19.87039239,144.9375
original,firstorder,RootMeanSquared,51.86635757,109.6334169,468.8269048
original,firstorder,Skewness,1.665049238,1.025469835,0.622211782
original,firstorder,TotalEnergy,112985,865403,2637584
original,firstorder,Uniformity,0.477324263,0.22183642,0.125
original,firstorder,Variance,57.45181406,1252.541474,40869.66667
original,glcm,Autocorrelation,2.015108539,4.359050588,102.2435897
original,glcm,ClusterProminence,0.533088398,47.88135618,20371.6527
original,glcm,ClusterShade,0.111225918,5.841429464,462.7887834
original,glcm,ClusterTendency,0.425284132,2.91557505,75.78615036
original,glcm,Contrast,0.829214166,1.388924837,178.5054945
original,glcm,Correlation,-0.250773164,0.08926831,-0.37440726
original,glcm,DifferenceAverage,0.669873506,0.88324013,11.24358974
original,glcm,DifferenceEntropy,0.917630416,1.289590307,1.107423593
original,glcm,DifferenceVariance,0.243288566,0.461122412,25.78540904
original,glcm,Id,0.691620023,0.632350229,0.185136366
original,glcm,Idm,0.680997313,0.608309598,0.121212241
original,glcm,Idmn,0.924432768,0.973878535,0.766629474
original,glcm,Idn,0.840498656,0.896258245,0.698929637
original,glcm,Imc1,-0.291392676,-0.294757338,-0.871012575
original,glcm,Imc2,0.576199196,0.704010999,0.980885916
original,glcm,InverseVariance,0.530450429,0.533649403,0.164270721
original,glcm,JointAverage,1.445328427,1.918759899,11.07875458
original,glcm,JointEnergy,0.331387142,0.202998336,0.20528083
original,glcm,JointEntropy,1.806158557,2.761969917,2.472861917
original,glcm,MCC,0.508723336,0.585637659,1
original,glcm,MaximumProbability,0.420608017,0.278618452,0.213827839
original,glcm,SumAverage,2.890656854,3.837519799,22.15750916
original,glcm,SumEntropy,1.171999336,1.915734831,1.350941725
original,glcm,SumSquares,0.313624574,1.076124972,63.57291122
original,gldm,DependenceEntropy,3.469815795,4.126736163,3.084962501
original,gldm,DependenceNonUniformity,6.523809524,14.83333333,6.666666667
original,gldm,DependenceNonUniformityNormalized,0.155328798,0.206018519,0.555555556
original,gldm,DependenceVariance,4.371882086,3.165895062,0.222222222
original,gldm,GrayLevelNonUniformity,20.04761905,15.97222222,1.5
original,gldm,GrayLevelVariance,0.297052154,2.309992284,66.40972222
original,gldm,HighGrayLevelEmphasis,2.619047619,9.347222222,155.0833333
original,gldm,LargeDependenceEmphasis,28.42857143,12,2
original,gldm,LargeDependenceHighGrayLevelEmphasis,51.9047619,43.65277778,373.0833333
original,gldm,LargeDependenceLowGrayLevelEmphasis,22.58597884,7.934887881,0.151773178
original,gldm,LowGrayLevelEmphasis,0.621693122,0.366407943,0.136634289
original,gldm,SmallDependenceEmphasis,0.10515239,0.31420694,0.75
original,gldm,SmallDependenceHighGrayLevelEmphasis,0.418545247,5.48953873,100.5833333
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.053259202,0.046338048,0.132849567
original,glrlm,GrayLevelNonUniformity,16.94662952,14.47998527,1.476923077
original,glrlm,GrayLevelNonUniformityNormalized,0.473796387,0.216628226,0.124615385
original,glrlm,GrayLevelVariance,0.304258105,2.36537671,66.44051282
original,glrlm,HighGrayLevelRunEmphasis,2.744625208,9.85155795,154.1153846
original,glrlm,LongRunEmphasis,1.932741631,1.415155068,1.046153846
original,glrlm,LongRunHighGrayLevelEmphasis,4.667068041,11.81734372,164.1769231
original,glrlm,LongRunLowGrayLevelEmphasis,1.282311237,0.563493974,0.139202167
original,glrlm,LowGrayLevelRunEmphasis,0.596994905,0.34625893,0.138503449
original,glrlm,RunEntropy,1.672690392,2.678462732,3.087806008
original,glrlm,RunLengthNonUniformity,29.25987328,59.69575433,11.6
original,glrlm,RunLengthNonUniformityNormalized,0.769600286,0.884551708,0.975384615
original,glrlm,RunPercentage,0.84981685,0.924145299,0.987179487
original,glrlm,RunVariance,0.222134528,0.182733344,0.012307692
original,glrlm,ShortRunEmphasis,0.856467629,0.947391798,0.988461538
original,glrlm,ShortRunHighGrayLevelEmphasis,2.429787049,9.648404325,151.6
original,glrlm,ShortRunLowGrayLevelEmphasis,0.496288981,0.314069368,0.138328769
original,glszm,GrayLevelNonUniformity,1.8,4.555555556,1.2
original,glszm,GrayLevelNonUniformityNormalized,0.36,0.16872428,0.12
original,glszm,GrayLevelVariance,0.56,2.825788752,66.81
original,glszm,HighGrayLevelZoneEmphasis,3.8,16,142.5
original,glszm,LargeAreaEmphasis,124,17.55555556,1.6
original,glszm,LargeAreaHighGrayLevelEmphasis,256.4,82.92592593,273.3
original,glszm,LargeAreaLowGrayLevelEmphasis,91.12222222,9.494063156,0.170016702
original,glszm,LowGrayLevelZoneEmphasis,0.522222222,0.198024061,0.160933369
original,glszm,SizeZoneNonUniformity,1.4,9.962962963,6.8
original,glszm,SizeZoneNonUniformityNormalized,0.28,0.368998628,0.68
original,glszm,SmallAreaEmphasis,0.405765065,0.62144413,0.85
original,glszm,SmallAreaHighGrayLevelEmphasis,2.021560258,13.05497557,109.8
original,glszm,SmallAreaLowGrayLevelEmphasis,0.224038488,0.055528346,0.158662536
original,glszm,ZoneEntropy,2.321928095,3.717850465,3.121928095
original,glszm,ZonePercentage,0.119047619,0.375,0.833333333
original,glszm,ZoneVariance,53.44,10.44444444,0.16
original,ngtdm,Busyness,2.400204263,1.13759049,0.139595686
original,ngtdm,Coarseness,0.11823318,0.088396185,0.08362115
original,ngtdm,Complexity,1.596786313,16.30157072,694.9313713
original,ngtdm,Contrast,0.044090139,0.092068365,14.75869209
original,ngtdm,Strength,0.381937814,1.887555418,25.61809735
log-sigma-1-0-mm-3D,firstorder,10Percentile,54.26883888,4.074086571,-254.3300598
log-sigma-1-0-mm-3D,firstorder,90Percentile,70.90039673,46.07453613,-49.76409416
log-sigma-1-0-mm-3D,firstorder,Energy,158527.2459,71494.40149,305601.4522
log-sigma-1-0-mm-3D,firstorder,Entropy,0.453716339,1.578500196,2.688721876
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,7.47335434,25.4519093,173.2790289
log-sigma-1-0-mm-3D,firstorder,Kurtosis,4.806070767,2.622386062,1.644558331
log-sigma-1-0-mm-3D,firstorder,Maximum,73.71018982,59.06737137,-0.309971809
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,5.560102826,13.67424547,79.685788
log-sigma-1-0-mm-3D,firstorder,Mean,60.94416437,26.72577574,-132.1980178
log-sigma-1-0-mm-3D,firstorder,Median,60.89912415,29.1828928,-102.1899643
log-sigma-1-0-mm-3D,firstorder,Minimum,37.09923172,-18.60843277,-264.6225281
log-sigma-1-0-mm-3D,firstorder,Range,36.6109581,77.67580414,264.3125563
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,3.206847489,9.609140878,58.30748343
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,61.43661966,31.51155024,159.5831686
log-sigma-1-0-mm-3D,firstorder,Skewness,-1.056684757,-0.450846776,-0.386530269
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,158527.2459,71494.40149,305601.4522
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.827664399,0.392361111,0.166666667
log-sigma-1-0-mm-3D,firstorder,Variance,60.2670652,278.7107096,7990.471765
log-sigma-1-0-mm-3D,glcm,Autocorrelation,3.669320056,8.292788045,24.64835165
log-sigma-1-0-mm-3D,glcm,ClusterProminence,0.211496117,2.961349872,685.3767142
log-sigma-1-0-mm-3D,glcm,ClusterShade,-0.118278777,-0.220130072,-36.55991783
log-sigma-1-0-mm-3D,glcm,ClusterTendency,0.142636739,0.733168956,14.3780089
log-sigma-1-0-mm-3D,glcm,Contrast,0.140856291,0.383656692,30.27289377
log-sigma-1-0-mm-3D,glcm,Correlation,0.490312131,0.278631511,-0.370839837
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,0.140856291,0.349918501,4.677655678
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,0.377964007,0.768723526,1.056725413
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,0.085067622,0.206935577,4.97263649
log-sigma-1-0-mm-3D,glcm,Id,0.929571854,0.830663782,0.296733822
log-sigma-1-0-mm-3D,glcm,Idm,0.929571854,0.828414569,0.213474305
log-sigma-1-0-mm-3D,glcm,Idmn,0.971828742,0.978027339,0.821154531
log-sigma-1-0-mm-3D,glcm,Idn,0.953047903,0.931140906,0.729002779
log-sigma-1-0-mm-3D,glcm,Imc1,-0.145116406,-0.179887741,-0.790994582
log-sigma-1-0-mm-3D,glcm,Imc2,0.261910187,0.465904329,0.965259958
log-sigma-1-0-mm-3D,glcm,InverseVariance,0.140856291,0.320397583,0.197056167
log-sigma-1-0-mm-3D,glcm,JointAverage,1.913249401,2.855829885,5.263736264
log-sigma-1-0-mm-3D,glcm,JointEnergy,0.773185863,0.483430112,0.232742456
log-sigma-1-0-mm-3D,glcm,JointEntropy,0.60857846,1.634187435,2.311689756
log-sigma-1-0-mm-3D,glcm,MCC,0.26205321,0.414600326,1
log-sigma-1-0-mm-3D,glcm,MaximumProbability,0.842821255,0.604219059,0.260989011
log-sigma-1-0-mm-3D,glcm,SumAverage,3.826498801,5.711659769,10.52747253
log-sigma-1-0-mm-3D,glcm,SumEntropy,0.467722169,1.243707198,1.412422357
log-sigma-1-0-mm-3D,glcm,SumSquares,0.070873257,0.279206412,11.16272567
log-sigma-1-0-mm-3D,gldm,DependenceEntropy,3.3273399,4.055594261,2.688721876
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformity,5.333333333,12.02777778,4.5
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.126984127,0.167052469,0.375
log-sigma-1-0-mm-3D,gldm,DependenceVariance,7.58276644,8.452932099,0.5
