Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-3-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.80807601,0.543972486,0.205212186
log-sigma-3-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.417292254,0.367457769,0.184759259
log-sigma-3-0-mm-3D,glrlm,RunEntropy,1.885117639,2.035841398,2.119347751
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity,31.96935993,54.09273342,10.35757576
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.81279768,0.825519028,0.899991995
log-sigma-3-0-mm-3D,glrlm,RunPercentage,0.868131868,0.887820513,0.942307692
log-sigma-3-0-mm-3D,glrlm,RunVariance,0.254640383,0.265442399,0.069947023
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis,0.874194196,0.910634722,0.949978417
log-sigma-3-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,3.797977277,4.411069227,11.52914185
log-sigma-3-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.360704273,0.341539914,0.18023957
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity,2.333333333,4.333333333,1
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.388888889,0.361111111,0.2
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance,0.805555556,0.805555556,2
log-sigma-3-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,5.5,4.166666667,11
log-sigma-3-0-mm-3D,glszm,LargeAreaEmphasis,104.6666667,77.83333333,9.2
log-sigma-3-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,403.8333333,451.25,130.8
log-sigma-3-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,34.68981481,18.84259259,0.946888889
log-sigma-3-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.430555556,0.535300926,0.292722222
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformity,1.333333333,2.333333333,1.8
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.222222222,0.194444444,0.36
log-sigma-3-0-mm-3D,glszm,SmallAreaEmphasis,0.217039597,0.38871262,0.505555556
log-sigma-3-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,1.782799591,1.220935237,5.938888889
log-sigma-3-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.042934989,0.239507205,0.226402778
log-sigma-3-0-mm-3D,glszm,ZoneEntropy,2.584962501,3.251629167,2.321928095
log-sigma-3-0-mm-3D,glszm,ZonePercentage,0.142857143,0.166666667,0.416666667
log-sigma-3-0-mm-3D,glszm,ZoneVariance,55.66666667,41.83333333,3.44
log-sigma-3-0-mm-3D,ngtdm,Busyness,1.860215935,1.461433092,0.167772404
log-sigma-3-0-mm-3D,ngtdm,Coarseness,0.1612716,0.102213091,0.372528488
log-sigma-3-0-mm-3D,ngtdm,Complexity,1.294520038,2.387431889,7.857927847
log-sigma-3-0-mm-3D,ngtdm,Contrast,0.072635057,0.036517923,0.111438859
log-sigma-3-0-mm-3D,ngtdm,Strength,0.328141694,0.546089608,3.046568983
log-sigma-5-0-mm-3D,firstorder,10Percentile,-55.24214592,-58.7852211,-73.55975189
log-sigma-5-0-mm-3D,firstorder,90Percentile,-39.16238861,-4.011986351,-49.00557289
log-sigma-5-0-mm-3D,firstorder,Energy,93122.8855,118801.2769,48263.42035
log-sigma-5-0-mm-3D,firstorder,Entropy,0.918295834,1.754794476,1.040852083
log-sigma-5-0-mm-3D,firstorder,InterquartileRange,8.663453102,40.16080236,13.21010399
log-sigma-5-0-mm-3D,firstorder,Kurtosis,2.205359407,1.619639675,2.606422863
log-sigma-5-0-mm-3D,firstorder,Maximum,-36.29757309,4.438368797,-44.80434418
log-sigma-5-0-mm-3D,firstorder,MeanAbsoluteDeviation,5.089261148,19.07147921,8.929788589
log-sigma-5-0-mm-3D,firstorder,Mean,-46.69490342,-34.63884911,-62.4368763
log-sigma-5-0-mm-3D,firstorder,Median,-46.44912338,-39.42128372,-62.1562233
log-sigma-5-0-mm-3D,firstorder,Minimum,-60.45667267,-62.09570694,-85.95774078
log-sigma-5-0-mm-3D,firstorder,Range,24.15909958,66.53407574,41.15339661
log-sigma-5-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,3.662555218,15.87879928,5.097066879
log-sigma-5-0-mm-3D,firstorder,RootMeanSquared,47.08727598,40.62041032,63.41885915
log-sigma-5-0-mm-3D,firstorder,Skewness,-0.176726982,0.308932151,-0.384044614
log-sigma-5-0-mm-3D,firstorder,TotalEnergy,93122.8855,118801.2769,48263.42035
log-sigma-5-0-mm-3D,firstorder,Uniformity,0.555555556,0.31404321,0.597222222
log-sigma-5-0-mm-3D,firstorder,Variance,36.79755419,450.1678667,123.5881743
log-sigma-5-0-mm-3D,glcm,Autocorrelation,2.414272527,6.802948693,4.169413919
log-sigma-5-0-mm-3D,glcm,ClusterProminence,0.262718636,7.668044608,0.4665257
log-sigma-5-0-mm-3D,glcm,ClusterShade,-0.09617032,-0.063728394,0.009417076
log-sigma-5-0-mm-3D,glcm,ClusterTendency,0.246083237,1.72898174,0.441653585
log-sigma-5-0-mm-3D,glcm,Contrast,0.690025792,0.319503524,0.750915751
log-sigma-5-0-mm-3D,glcm,Correlation,-0.438959028,0.513379341,0.078580625
log-sigma-5-0-mm-3D,glcm,DifferenceAverage,0.690025792,0.319503524,0.597069597
log-sigma-5-0-mm-3D,glcm,DifferenceEntropy,0.407869098,0.698518691,0.454117228
log-sigma-5-0-mm-3D,glcm,DifferenceVariance,0.093295625,0.160183251,0.112855399
log-sigma-5-0-mm-3D,glcm,Id,0.654987104,0.840248238,0.727106227
log-sigma-5-0-mm-3D,glcm,Idm,0.654987104,0.840248238,0.716849817
log-sigma-5-0-mm-3D,glcm,Idmn,0.861994842,0.981205675,0.932009017
log-sigma-5-0-mm-3D,glcm,Idn,0.769991403,0.936099295,0.858424908
log-sigma-5-0-mm-3D,glcm,Imc1,-0.613012587,-0.479025734,-0.362979601
log-sigma-5-0-mm-3D,glcm,Imc2,0.731287912,0.744988418,0.552336377
log-sigma-5-0-mm-3D,glcm,InverseVariance,0.690025792,0.319503524,0.462454212
log-sigma-5-0-mm-3D,glcm,JointAverage,1.586428474,2.516024369,2.056776557
log-sigma-5-0-mm-3D,glcm,JointEnergy,0.438649861,0.337332075,0.474021019
log-sigma-5-0-mm-3D,glcm,JointEntropy,1.301437772,1.969783259,1.365208151
log-sigma-5-0-mm-3D,glcm,MCC,0.733768245,0.747013729,0.523543124
log-sigma-5-0-mm-3D,glcm,MaximumProbability,0.503778216,0.460655177,0.563186813
log-sigma-5-0-mm-3D,glcm,SumAverage,3.172856948,5.032048738,4.113553114
log-sigma-5-0-mm-3D,glcm,SumEntropy,0.61141198,1.650279735,0.845061631
log-sigma-5-0-mm-3D,glcm,SumSquares,0.234027257,0.512121316,0.298142334
log-sigma-5-0-mm-3D,gldm,DependenceEntropy,3.325962366,4.090666711,2.688721876
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformity,6.80952381,11,2.333333333
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.162131519,0.152777778,0.194444444
log-sigma-5-0-mm-3D,gldm,DependenceVariance,2.854875283,5.360339506,6
log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity,23.33333333,22.61111111,7.166666667
log-sigma-5-0-mm-3D,gldm,GrayLevelVariance,0.222222222,0.860339506,0.243055556
log-sigma-5-0-mm-3D,gldm,HighGrayLevelEmphasis,3,4.972222222,4.583333333
log-sigma-5-0-mm-3D,gldm,LargeDependenceEmphasis,31.80952381,30.63888889,31
log-sigma-5-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,104.0952381,200,127.0833333
log-sigma-5-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,13.73809524,9.996624228,7.719907407
log-sigma-5-0-mm-3D,gldm,LowGrayLevelEmphasis,0.5,0.479070216,0.289351852
log-sigma-5-0-mm-3D,gldm,SmallDependenceEmphasis,0.049713824,0.082540193,0.162116638
log-sigma-5-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,0.134604303,0.355458185,0.606799887
log-sigma-5-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.028491204,0.048034837,0.097242123
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformity,19.17409769,19.22224972,5.644094794
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.546334004,0.314878872,0.550229264
log-sigma-5-0-mm-3D,glrlm,GrayLevelVariance,0.226832998,0.860315013,0.283990242
log-sigma-5-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,2.942722595,4.837250349,4.658585859
log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,2.601875492,1.957137709,1.653496503
log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,8.146622719,9.778473898,7.416802642
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,1.215688685,0.948616549,0.458374881
log-sigma-5-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.514319351,0.492780806,0.299007166
log-sigma-5-0-mm-3D,glrlm,RunEntropy,1.460998601,2.283547068,1.558535883
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformity,30.21229784,48.34956995,7.824125874
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.784838426,0.768558865,0.739175585
log-sigma-5-0-mm-3D,glrlm,RunPercentage,0.831501832,0.84508547,0.846153846
log-sigma-5-0-mm-3D,glrlm,RunVariance,0.36874368,0.300850804,0.148441054
log-sigma-5-0-mm-3D,glrlm,ShortRunEmphasis,0.828256351,0.864736134,0.847309635
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,2.417225383,4.077837492,4.011766706
log-sigma-5-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.431014093,0.438555558,0.261836177
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformity,1.666666667,2.5,1
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.555555556,0.3125,0.333333333
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance,0.222222222,1,0.666666667
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,2,5,4.666666667
log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,296.6666667,142,28.66666667
log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,1080.666667,766.25,120.3333333
log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,100.6666667,62.57378472,7.231481481
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.75,0.490451389,0.453703704
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformity,1,1.25,1
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.333333333,0.15625,0.333333333
log-sigma-5-0-mm-3D,glszm,SmallAreaEmphasis,0.01787373,0.187240755,0.420781893
log-sigma-5-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,0.01914924,0.53479438,1.099794239
log-sigma-5-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.017554852,0.139677399,0.343621399
log-sigma-5-0-mm-3D,glszm,ZoneEntropy,1.584962501,3,1.584962501
log-sigma-5-0-mm-3D,glszm,ZonePercentage,0.071428571,0.111111111,0.25
log-sigma-5-0-mm-3D,glszm,ZoneVariance,100.6666667,61,12.66666667
log-sigma-5-0-mm-3D,ngtdm,Busyness,3.498785474,0.770994878,0.176838235
log-sigma-5-0-mm-3D,ngtdm,Coarseness,0.142906733,0.25655449,0.997920998
log-sigma-5-0-mm-3D,ngtdm,Complexity,0.333217664,1.032259397,0.830568182
log-sigma-5-0-mm-3D,ngtdm,Contrast,0.074292624,0.029640698,0.025224516
log-sigma-5-0-mm-3D,ngtdm,Strength,0.142436894,1.254193248,1.472118959
