Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous
log-sigma-5-0-mm-3D,gldm,LowGrayLevelEmphasis,0.180792298,0.133141762
log-sigma-5-0-mm-3D,gldm,SmallDependenceEmphasis,0.208761467,0.090409242
log-sigma-5-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,1.356157493,0.838013967
log-sigma-5-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.051564476,0.015079052
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformity,36.69645279,70.27534695
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.472210348,0.469307489
log-sigma-5-0-mm-3D,glrlm,GrayLevelVariance,0.381718588,0.401333091
log-sigma-5-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,7.378836632,9.462169011
log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,1.681799599,1.80595007
log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,12.95100023,17.02777356
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.283140132,0.233597171
log-sigma-5-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.187252757,0.135228523
log-sigma-5-0-mm-3D,glrlm,RunEntropy,1.817651929,1.961301683
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformity,64.54001933,121.3787346
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.810148851,0.787218403
log-sigma-5-0-mm-3D,glrlm,RunPercentage,0.879370629,0.858974359
log-sigma-5-0-mm-3D,glrlm,RunVariance,0.221360889,0.251820951
log-sigma-5-0-mm-3D,glrlm,ShortRunEmphasis,0.899027825,0.883194298
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,6.564989739,8.369565841
log-sigma-5-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.172281369,0.120682041
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformity,7.857142857,4.466666667
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.37414966,0.297777778
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance,0.616780045,0.915555556
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,6.285714286,9.133333333
log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,124.6666667,337.3333333
log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,1097.952381,3132.8
log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,14.71329365,38.8787037
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.263888889,0.200462963
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformity,8.333333333,2.333333333
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.396825397,0.155555556
log-sigma-5-0-mm-3D,glszm,SmallAreaEmphasis,0.636103704,0.276868714
log-sigma-5-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,4.092129101,2.245493263
log-sigma-5-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.164396958,0.062131609
log-sigma-5-0-mm-3D,glszm,ZoneEntropy,3.082328137,3.773557262
log-sigma-5-0-mm-3D,glszm,ZonePercentage,0.238636364,0.086206897
log-sigma-5-0-mm-3D,glszm,ZoneVariance,107.106576,202.7733333
log-sigma-5-0-mm-3D,ngtdm,Busyness,0.61576324,1.961979348
log-sigma-5-0-mm-3D,ngtdm,Coarseness,0.133562683,0.040458918
log-sigma-5-0-mm-3D,ngtdm,Complexity,1.322067538,2.42908121
log-sigma-5-0-mm-3D,ngtdm,Contrast,0.013353163,0.023144907
log-sigma-5-0-mm-3D,ngtdm,Strength,0.663430687,0.237369048
