Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
diagnostics,Mask-interpolated,Size,"(25, 28, 57)","(28, 30, 71)","(29, 32, 71)","(16, 19, 23)"
diagnostics,Mask-interpolated,BoundingBox,"(6, 6, 6, 13, 16, 46)","(6, 6, 6, 16, 18, 60)","(6, 6, 6, 16, 20, 60)","(6, 5, 6, 4, 8, 12)"
diagnostics,Mask-interpolated,VoxelNum,288,696,1336,24
diagnostics,Mask-interpolated,VolumeNum,30,30,9,2
diagnostics,Mask-interpolated,CenterOfMassIndex,"(12.42361111111111, 12.444444444444445, 31.583333333333332)","(14.063218390804598, 13.304597701149426, 41.04597701149425)","(14.516467065868264, 15.841317365269461, 37.0748502994012)","(7.25, 7.916666666666667, 11.833333333333334)"
diagnostics,Mask-interpolated,CenterOfMass,"(37.42411111111112, 18.444944444444445, -625.4166666666666)","(38.0637183908046, 19.30509770114943, -629.9540229885057)","(38.516967065868265, 20.841817365269463, -633.9251497005988)","(37.2505, 16.91716666666667, -625.1666666666666)"
diagnostics,Mask-interpolated,Mean,12.17708333,45.24281609,90.13398204,318.3333333
diagnostics,Mask-interpolated,Minimum,-68,-9,11,55
diagnostics,Mask-interpolated,Maximum,101,132,246,675
original,shape,Elongation,0.300002203,0.22543246,0.205646448,0.128901867
original,shape,Flatness,0.262381853,0.200958508,0.156217763,0.114617809
original,shape,LeastAxisLength,11.26935553,11.26823792,11.26878976,2.435925156
original,shape,MajorAxisLength,42.95020939,56.07246,72.13513701,21.25258875
original,shape,Maximum2DDiameterColumn,44.01136217,59.68249325,60.67124525,4.472135955
original,shape,Maximum2DDiameterRow,44.27188724,60.20797289,60.40695324,13.89244399
original,shape,Maximum2DDiameterSlice,14.76482306,16.55294536,18.60107524,3.16227766
original,shape,Maximum3DDiameter,47.39198244,63.1585307,63.3245608,14.03566885
original,shape,MeshVolume,171.625,493.5,952.2083333,17.75
original,shape,MinorAxisLength,12.88515742,12.64055261,14.83433474,2.739498362
original,shape,Sphericity,0.226190411,0.197181503,0.164319404,0.627807226
original,shape,SurfaceArea,660.2832833,1531.59071,2848.502412,52.41513627
original,shape,SurfaceVolumeRatio,3.847244186,3.103527275,2.991469736,2.952965423
original,shape,VoxelVolume,288,696,1336,24
original,firstorder,10Percentile,-14.3,26,57.5,138.6
original,firstorder,90Percentile,32,65,134.5,501.9
original,firstorder,Energy,163019,1627025,12323207,3068504
original,firstorder,Entropy,1.734681682,1.573643472,2.34646862,3.470175521
original,firstorder,InterquartileRange,22,19,35.25,245.5
original,firstorder,Kurtosis,5.244095387,5.396082813,5.0534776,2.341039808
original,firstorder,Maximum,101,132,246,675
original,firstorder,MeanAbsoluteDeviation,15.10431134,12.54831385,24.87053251,136.75
original,firstorder,Mean,12.17708333,45.24281609,90.13398204,318.3333333
original,firstorder,Median,14,44,84,319
original,firstorder,Minimum,-68,-9,11,55
original,firstorder,Range,169,141,235,620
