"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"diagnostics","Image-interpolated","Maximum","1705.0","1627.0","1448.0","1627.0"
"diagnostics","Mask-interpolated","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
"diagnostics","Mask-interpolated","Size","(30, 27, 37)","(35, 32, 75)","(28, 26, 71)","(36, 33, 75)"
"diagnostics","Mask-interpolated","BoundingBox","(8, 5, 6, 15, 15, 24)","(7, 6, 6, 21, 19, 64)","(6, 6, 6, 16, 13, 60)","(6, 6, 6, 23, 21, 64)"
"diagnostics","Mask-interpolated","VoxelNum","104","348","342","854"
"diagnostics","Mask-interpolated","VolumeNum","15","43","7","26"
"diagnostics","Mask-interpolated","CenterOfMassIndex","(16.615384615384617, 12.442307692307692, 18.576923076923077)","(18.879310344827587, 15.827586206896552, 48.99425287356322)","(12.619883040935672, 12.608187134502923, 44.60526315789474)","(18.94613583138173, 16.0327868852459, 41.19789227166277)"
"diagnostics","Mask-interpolated","CenterOfMass","(40.990884615384616, -29.05719230769229, -652.4230769230766)","(37.25481034482759, -29.671913793103432, -658.0057471264364)","(35.99538304093571, -29.891312865497046, -660.394736842105)","(36.32163583138176, -28.466713114754082, -665.8021077283369)"
"diagnostics","Mask-interpolated","Mean","11.336538461538462","48.410919540229884","463.10233918128654","99.6288056206089"
"diagnostics","Mask-interpolated","Minimum","-69.0","-30.0","97.0","0.0"
"diagnostics","Mask-interpolated","Maximum","81.0","153.0","1090.0","337.0"
"original","shape","Elongation","0.9488123050063666","0.32885361545248837","0.20110512815735346","0.2282825479049913"
"original","shape","Flatness","0.583345981312426","0.23047437294381093","0.1277023150835816","0.16474221479912438"
"original","shape","LeastAxisLength","12.182512100115567","14.138407531871184","8.912239709844773","13.008888256402733"
"original","shape","MajorAxisLength","20.88385364840785","61.344813964709616","69.78917887284723","78.96511693900013"
"original","shape","Maximum2DDiameterColumn","22.47220505424423","57.3149195236284","60.00833275470999","62.96824596572466"
"original","shape","Maximum2DDiameterRow","25.0","63.63961030678928","60.07495318350236","65.0"
"original","shape","Maximum2DDiameterSlice","17.029386365926403","20.615528128088304","17.204650534085253","21.540659228538015"
"original","shape","Maximum3DDiameter","25.0","67.08949247087803","60.166435825965294","67.52777206453653"
"original","shape","MeshVolume","58.75","124.04166666666667","263.2083333333333","489.7083333333333"
"original","shape","MinorAxisLength","19.814857317561472","20.173463861555053","14.034961761220405","18.026358090450536"
"original","shape","Sphericity","0.29488115920844005","0.14498219283143798","0.31825362457465706","0.14907081852188073"
"original","shape","SurfaceArea","247.84244224356183","829.623774293384","624.0851605712616","2015.501618971684"
"original","shape","SurfaceVolumeRatio","4.218594761592541","6.6882669073030625","2.3710691552493715","4.115718442552575"
"original","shape","VoxelVolume","104.0","348.0","342.0","854.0"
"original","firstorder","10Percentile","-25.7","24.0","204.2","59.0"
"original","firstorder","90Percentile","40.7","75.0","694.0","151.0"
"original","firstorder","Energy","98929.0","1005481.0","85755607.0","9716547.0"
"original","firstorder","Entropy","2.2266615981130173","1.9097325872991473","4.822841005542792","2.562909490814728"
"original","firstorder","InterquartileRange","31.5","26.25","279.25","49.0"
"original","firstorder","Kurtosis","3.417991679533203","5.436487826099732","2.9325189683049304","5.060659882136587"
"original","firstorder","Maximum","81.0","153.0","1090.0","337.0"
"original","firstorder","MeanAbsoluteDeviation","21.77847633136094","17.39627097370855","151.67005232379196","29.760523559060818"
"original","firstorder","Mean","11.336538461538462","48.410919540229884","463.10233918128654","99.6288056206089"
"original","firstorder","Median","14.5","44.0","468.5","92.0"
"original","firstorder","Minimum","-69.0","-30.0","97.0","0.0"
"original","firstorder","Range","150.0","183.0","993.0","337.0"
"original","firstorder","RobustMeanAbsoluteDeviation","13.801011302795956","11.274299970871695","107.81795005970831","20.33878416537908"
"original","firstorder","RootMeanSquared","30.84218514657132","53.75233221350312","500.74683113214894","106.6662537804265"
"original","firstorder","Skewness","-0.06712467020518238","1.0448665846867364","0.28682593562877756","1.0582407111402583"
"original","firstorder","TotalEnergy","98929.0","1005481.0","85755607.0","9716547.0"
"original","firstorder","Uniformity","0.26571745562130183","0.33685097106619105","0.040815977565746724","0.20156694766054767"
"original","firstorder","Variance","822.7232803254439","545.6960876601928","36283.61233370952","1451.79078616128"
"original","glcm","Autocorrelation","13.28270959939317","19.28024692781742","300.76554340485313","19.31832306248444"
"original","glcm","ClusterProminence","19.347771918594592","23.665930772729936","61430.582842815544","101.4354516640256"
"original","glcm","ClusterShade","-1.7095014624638902","2.219568649989658","356.1423608301768","9.515587267622978"
"original","glcm","ClusterTendency","2.5620446826550016","1.8838045981318825","138.1905063071243","5.118868405507085"
"original","glcm","Contrast","2.7226219098683604","1.7423298401051877","109.48110448707416","3.467112885658843"
