Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous
diagnostics,Mask-interpolated,Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics,Mask-interpolated,Size,"(22, 26, 57)","(26, 32, 73)","(17, 19, 23)","(25, 29, 49)"
diagnostics,Mask-interpolated,BoundingBox,"(5, 5, 14, 10, 14, 38)","(6, 6, 6, 14, 20, 62)","(5, 6, 6, 5, 7, 12)","(6, 6, 6, 12, 16, 38)"
diagnostics,Mask-interpolated,VoxelNum,42,1604,32,836
diagnostics,Mask-interpolated,VolumeNum,12,9,2,9
diagnostics,Mask-interpolated,CenterOfMassIndex,"(8.428571428571429, 14.428571428571429, 29.357142857142858)","(11.071072319201996, 17.046134663341647, 36.17581047381546)","(6.9375, 8.875, 10.75)","(10.933014354066986, 14.909090909090908, 24.882775119617225)"
diagnostics,Mask-interpolated,CenterOfMass,"(35.80407142857139, -13.070928571428555, -564.1428571428572)","(36.44657231920193, -13.453365336658337, -573.3241895261847)","(35.31299999999993, -12.624499999999983, -580.7500000000001)","(36.308514354066915, -14.590409090909061, -584.6172248803829)"
diagnostics,Mask-interpolated,Mean,21.11904762,47.39775561,259.96875,81.52033493
diagnostics,Mask-interpolated,Minimum,-7,-10,116,11
diagnostics,Mask-interpolated,Maximum,58,190,519,239
original,shape,Elongation,0.358879119,0.281479346,0.214033726,0.349152073
original,shape,Flatness,0.200193909,0.227510799,0.128003818,0.280436348
original,shape,LeastAxisLength,8.075127149,11.01958213,2.451765613,10.49317605
original,shape,MajorAxisLength,40.33652776,48.43542451,19.15384756,37.41731812
original,shape,Maximum2DDiameterColumn,38.05259518,62.12889827,4.242640687,38.83297568
original,shape,Maximum2DDiameterRow,37.33630941,62.00806399,13.41640786,40.49691346
original,shape,Maximum2DDiameterSlice,14.31782106,18.38477631,4.472135955,16.4924225
original,shape,Maximum3DDiameter,38.34057903,62.36184731,13.74772708,40.76763422
original,shape,MeshVolume,19.25,1396.458333,25.25,658.0416667
original,shape,MinorAxisLength,14.47593755,13.63357161,4.099569353,13.06433419
original,shape,Sphericity,0.351446393,0.238587211,0.649000208,0.201713352
original,shape,SurfaceArea,98.83532398,2532.341579,64.13280131,1813.781946
original,shape,SurfaceVolumeRatio,5.134302545,1.813402891,2.539912923,2.756332976
original,shape,VoxelVolume,42,1604,32,836
original,firstorder,10Percentile,8.1,32,147.5,55
original,firstorder,90Percentile,33,61,479.1,122
original,firstorder,Energy,25757,3866260,2574767,6226111
original,firstorder,Entropy,1.289528161,1.283327305,3.545958593,2.006805429
original,firstorder,InterquartileRange,15.25,16,148,33
original,firstorder,Kurtosis,4.04383255,14.21322062,3.008635195,5.117212768
original,firstorder,Maximum,58,190,519,239
original,firstorder,MeanAbsoluteDeviation,9.547619048,9.450861624,91.3359375,21.73391749
original,firstorder,Mean,21.11904762,47.39775561,259.96875,81.52033493
original,firstorder,Median,21.5,47,226.5,73
original,firstorder,Minimum,-7,-10,116,11
original,firstorder,Range,65,200,403,228
original,firstorder,RobustMeanAbsoluteDeviation,5.93204775,6.588388976,56.38888889,14.2723055
original,firstorder,RootMeanSquared,24.76412536,49.09568753,283.6573086,86.29890611
original,firstorder,Skewness,0.59533965,1.175728853,0.971279516,1.341934687
original,firstorder,TotalEnergy,25757,3866260,2574767,6226111
original,firstorder,Uniformity,0.48185941,0.463647614,0.095703125,0.328020192
original,firstorder,Variance,167.2477324,163.8392967,12877.71777,801.9361894
original,glcm,Autocorrelation,6.065876153,11.23566448,56.61039377,14.20976774
original,glcm,ClusterProminence,0.336898466,3.260819738,5218.397375,42.15167517
original,glcm,ClusterShade,0.027667232,0.380513683,107.6805949,6.089535998
original,glcm,ClusterTendency,0.297219597,0.753907678,47.58013047,3.012085881
original,glcm,Contrast,0.628129117,0.54281502,40.62577839,1.994685957
original,glcm,Correlation,-0.240838153,0.157380205,0.079796116,0.200389356
original,glcm,DifferenceAverage,0.612318841,0.441555734,5.013507326,0.922968345
original,glcm,DifferenceEntropy,0.362331626,1.126847245,2.543854321,1.823701788
original,glcm,DifferenceVariance,0.093881872,0.346081625,13.09246105,1.128408845
original,glcm,Id,0.696475626,0.791461617,0.279397249,0.665295814
original,glcm,Idm,0.695421607,0.788041751,0.193501132,0.635418831
original,glcm,Idmn,0.963330233,0.993628616,0.896023081,0.981894955
original,glcm,Idn,0.878063241,0.956651211,0.795173,0.923318257
original,glcm,Imc1,-0.636073582,-0.052560987,-0.765470911,-0.075368614
original,glcm,Imc2,0.725485964,0.320107454,0.996173761,0.485200114
original,glcm,InverseVariance,0.598484848,0.387741057,0.237989604,0.403622507
original,glcm,JointAverage,2.472826087,3.344038132,7.378869048,3.73534317
original,glcm,JointEnergy,0.479876148,0.272527634,0.065173434,0.138445718
original,glcm,JointEntropy,1.199411368,2.287094755,4.049918578,3.703494153
