Image type,Feature Class,Feature Name,Segmentation_segment_Calcium,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_IPH
diagnostics,Mask-interpolated,Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics,Mask-interpolated,Size,"(27, 33, 89)","(27, 31, 89)","(26, 33, 91)","(22, 27, 83)"
diagnostics,Mask-interpolated,BoundingBox,"(6, 6, 6, 14, 21, 78)","(6, 6, 6, 12, 19, 78)","(6, 6, 6, 14, 20, 80)","(6, 8, 6, 9, 13, 72)"
diagnostics,Mask-interpolated,VoxelNum,938,244,610,48
diagnostics,Mask-interpolated,VolumeNum,8,18,6,5
diagnostics,Mask-interpolated,CenterOfMassIndex,"(12.375266524520256, 16.61407249466951, 52.585287846481876)","(10.114754098360656, 16.57377049180328, 27.795081967213115)","(11.127868852459017, 13.934426229508198, 37.942622950819676)","(8.958333333333334, 15.833333333333334, 15.0)"
diagnostics,Mask-interpolated,CenterOfMass,"(30.750766524520188, -3.8854275053304725, -604.9147121535183)","(28.490254098360587, 0.07427049180329703, -633.704918032787)","(29.503368852458948, -1.5650737704917717, -625.5573770491804)","(28.333833333333267, 2.3338333333333505, -644.5000000000001)"
diagnostics,Mask-interpolated,Mean,123.4722814,225.6270492,162.1409836,119.5416667
diagnostics,Mask-interpolated,Minimum,-65,-456,-912,-62
diagnostics,Mask-interpolated,Maximum,698,2700,2693,606
original,shape,Elongation,0.159077649,0.177439748,0.18014372,0.141399604
original,shape,Flatness,0.106235865,0.086157288,0.089819348,0.071185795
original,shape,LeastAxisLength,10.82056057,6.862840502,8.115967212,4.386475324
original,shape,MajorAxisLength,101.8541201,79.65478799,90.35878539,61.62009348
original,shape,Maximum2DDiameterColumn,76.53103945,77.31752712,76.05918748,10.44030651
original,shape,Maximum2DDiameterRow,71.02112362,61.07372594,75.80237463,46.09772229
original,shape,Maximum2DDiameterSlice,17,9.219544457,10.81665383,6.708203932
original,shape,Maximum3DDiameter,78.67655305,78.5684415,80.84553173,72.58787778
original,shape,MeshVolume,864.6666667,150,427.7083333,33.83333333
original,shape,MinorAxisLength,16.20271393,14.13392548,16.27756774,8.713056795
original,shape,Sphericity,0.335791306,0.241785692,0.205555514,0.501675305
original,shape,SurfaceArea,1307.115069,564.6522112,1335.529448,100.8380857
original,shape,SurfaceVolumeRatio,1.51169823,3.764348075,3.122523794,2.980436031
original,shape,VoxelVolume,938,244,610,48
original,firstorder,10Percentile,43,-18.7,-25.1,0.6
original,firstorder,90Percentile,257.3,538.7,319.6,201.6
original,firstorder,Energy,21570315,55174403,126813934,1411188
original,firstorder,Entropy,3.180774467,4.544834407,4.480283428,3.633947074
original,firstorder,InterquartileRange,144.75,169.75,159.25,125.75
original,firstorder,Kurtosis,4.385666023,15.49443602,13.79118206,9.092713749
original,firstorder,Maximum,698,2700,2693,606
original,firstorder,MeanAbsoluteDeviation,74.40336014,235.1710562,212.8078044,82.859375
original,firstorder,Mean,123.4722814,225.6270492,162.1409836,119.5416667
original,firstorder,Median,84,99,95,105
original,firstorder,Minimum,-65,-456,-912,-62
original,firstorder,Range,763,3156,3605,668
original,firstorder,RobustMeanAbsoluteDeviation,56.64288847,81.69789563,65.63217213,50.57894737
original,firstorder,RootMeanSquared,151.6445562,475.5256065,455.9514175,171.463553
original,firstorder,Skewness,1.039341824,3.294348518,2.242613119,2.077758609
original,firstorder,TotalEnergy,21570315,55174403,126813934,1411188
original,firstorder,Uniformity,0.158678129,0.067085461,0.083977425,0.095486111
original,firstorder,Variance,7750.667142,175217.0371,181601.9965,15109.53993
original,glcm,Autocorrelation,87.10689343,1081.494513,2204.755237,57.62456561
original,glcm,ClusterProminence,4491.342318,8664378.226,13569879.78,7710.473935
original,glcm,ClusterShade,205.6753793,68132.17408,71635.76587,176.5839305
original,glcm,ClusterTendency,45.01604087,914.0989138,1065.110027,30.27597208
original,glcm,Contrast,4.95172452,169.0056518,132.0115761,17.72853151
original,glcm,Correlation,0.802378334,0.648432019,0.779174395,0.217322501
original,glcm,DifferenceAverage,1.20706221,7.214160771,5.121574062,3.325927918
original,glcm,DifferenceEntropy,2.065324086,3.541012785,3.194152253,2.396449879
original,glcm,DifferenceVariance,3.450098503,104.9136461,100.5898474,5.147863357
original,glcm,Id,0.646341358,0.356559784,0.459447984,0.339470816
original,glcm,Idm,0.617332393,0.290925687,0.407977432,0.249309844
original,glcm,Idmn,0.995232634,0.990480823,0.994296239,0.9788955
original,glcm,Idn,0.965260317,0.951815627,0.969575746,0.899487904
original,glcm,Imc1,-0.334659336,-0.631889348,-0.51208131,-0.647800936
original,glcm,Imc2,0.931894584,0.997524955,0.992501984,0.986584414
original,glcm,InverseVariance,0.406675245,0.259590551,0.34266369,0.290416159
original,glcm,JointAverage,8.777835118,29.75711738,44.39449189,7.355692278
original,glcm,JointEnergy,0.062707668,0.020215933,0.02842218,0.05622032
original,glcm,JointEntropy,5.160773378,6.07615428,6.292257535,4.309428827
original,glcm,MCC,0.896472089,1,1,0.973064247
original,glcm,MaximumProbability,0.168690638,0.062905208,0.099621925,0.097697602
original,glcm,SumAverage,17.55567024,59.51423476,88.78898377,14.71138456
original,glcm,SumEntropy,3.927072056,4.727256471,4.831068568,3.042083392
original,glcm,SumSquares,12.49194135,270.7761414,299.2804006,12.0011259
original,gldm,DependenceEntropy,6.589387743,5.940958478,6.563246653,4.313721876
original,gldm,DependenceNonUniformity,66.82729211,75.86885246,115.6688525,19.875
original,gldm,DependenceNonUniformityNormalized,0.071244448,0.31093792,0.18962107,0.4140625
original,gldm,DependenceVariance,21.61969622,1.352190271,4.606557377,0.692708333
original,gldm,GrayLevelNonUniformity,148.8400853,16.36885246,51.22622951,4.583333333
original,gldm,GrayLevelVariance,12.50249362,280.5478366,290.1910266,24.81206597
original,gldm,HighGrayLevelEmphasis,84.15565032,1097.008197,2228.644262,94.60416667
original,gldm,LargeDependenceEmphasis,68.46481876,5.418032787,13.60655738,3.333333333
original,gldm,LargeDependenceHighGrayLevelEmphasis,4987.292111,3668.606557,24046.3,261.3125
original,gldm,LargeDependenceLowGrayLevelEmphasis,1.391132737,0.014368259,0.055671975,0.10684934
original,gldm,LowGrayLevelEmphasis,0.024114971,0.006079579,0.007133203,0.052404823
original,gldm,SmallDependenceEmphasis,0.148143867,0.511021709,0.382370457,0.649594907
original,gldm,SmallDependenceHighGrayLevelEmphasis,16.91777917,816.2191373,1116.313748,72.74768519
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.005149755,0.005147802,0.002887402,0.042511866
original,glrlm,GrayLevelNonUniformity,99.27917882,15.29335192,43.33233206,4.403770682
original,glrlm,GrayLevelNonUniformityNormalized,0.135709615,0.065073065,0.076602855,0.093973419
original,glrlm,GrayLevelVariance,13.35269365,291.0411818,310.1179265,25.24797132
original,glrlm,HighGrayLevelRunEmphasis,86.96607001,1119.569285,2270.739804,95.30413098
original,glrlm,LongRunEmphasis,2.261289566,1.144429864,1.317196953,1.080037908
original,glrlm,LongRunHighGrayLevelEmphasis,178.3939796,1203.729185,2827.096764,100.7950242
original,glrlm,LongRunLowGrayLevelEmphasis,0.051644727,0.006531558,0.008947105,0.055080992
original,glrlm,LowGrayLevelRunEmphasis,0.025059344,0.006260893,0.007323838,0.053089791
