Image type,Feature Class,Feature Name,Segmentation_segment_Calcium,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_IPH
log-sigma-3-0-mm-3D,glcm,ClusterShade,-38.56363962,-1860.201663,-1616.580641,-154.8766961
log-sigma-3-0-mm-3D,glcm,ClusterTendency,19.05308053,132.7864923,140.2337917,12.87359992
log-sigma-3-0-mm-3D,glcm,Contrast,1.217617235,10.82352902,6.986931377,2.161660775
log-sigma-3-0-mm-3D,glcm,Correlation,0.880885305,0.847120013,0.912885917,0.593728344
log-sigma-3-0-mm-3D,glcm,DifferenceAverage,0.708738443,2.21757874,1.510368093,1.014285928
log-sigma-3-0-mm-3D,glcm,DifferenceEntropy,1.504697406,2.583053677,2.126654392,1.431445569
log-sigma-3-0-mm-3D,glcm,DifferenceVariance,0.69005472,4.99582871,4.19354826,0.922821852
log-sigma-3-0-mm-3D,glcm,Id,0.707685814,0.503645389,0.601454727,0.61624419
log-sigma-3-0-mm-3D,glcm,Idm,0.69110676,0.443428686,0.56935238,0.587225228
log-sigma-3-0-mm-3D,glcm,Idmn,0.997297593,0.989287417,0.996499178,0.995274061
log-sigma-3-0-mm-3D,glcm,Idn,0.968725995,0.937814262,0.968792998,0.955954084
log-sigma-3-0-mm-3D,glcm,Imc1,-0.418813137,-0.579799916,-0.556812108,-0.456578032
log-sigma-3-0-mm-3D,glcm,Imc2,0.958414847,0.99158193,0.992927394,0.914487811
log-sigma-3-0-mm-3D,glcm,InverseVariance,0.441023177,0.327121533,0.435907405,0.51060202
log-sigma-3-0-mm-3D,glcm,JointAverage,16.61293424,21.44724706,24.76361753,19.1636671
log-sigma-3-0-mm-3D,glcm,JointEnergy,0.046974166,0.039900916,0.036504984,0.11177113
log-sigma-3-0-mm-3D,glcm,JointEntropy,4.894941499,5.469818086,5.603171123,3.427262559
log-sigma-3-0-mm-3D,glcm,MCC,0.938624275,0.993196407,0.990285167,0.853314522
log-sigma-3-0-mm-3D,glcm,MaximumProbability,0.103957186,0.127703243,0.093822705,0.181353956
log-sigma-3-0-mm-3D,glcm,SumAverage,33.22586849,42.89449412,49.52723506,38.3273342
log-sigma-3-0-mm-3D,glcm,SumEntropy,3.98446652,4.334475328,4.564821614,2.556546724
log-sigma-3-0-mm-3D,glcm,SumSquares,5.067674442,35.90250532,36.80518076,3.758815174
log-sigma-3-0-mm-3D,gldm,DependenceEntropy,6.646301157,5.666748523,6.603708154,4.137380345
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformity,70.6119403,52.8852459,80.46229508,9.208333333
log-sigma-3-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.075279254,0.216742811,0.131905402,0.191840278
log-sigma-3-0-mm-3D,gldm,DependenceVariance,17.0471129,3.229172266,5.698887396,2.623263889
log-sigma-3-0-mm-3D,gldm,GrayLevelNonUniformity,121.3240938,25.54918033,54.70819672,8.083333333
log-sigma-3-0-mm-3D,gldm,GrayLevelVariance,5.433300676,33.42884977,36.81720236,14.74826389
log-sigma-3-0-mm-3D,gldm,HighGrayLevelEmphasis,276.1375267,535.2622951,666.9918033,331.2916667
log-sigma-3-0-mm-3D,gldm,LargeDependenceEmphasis,75.73773987,10.59016393,22.12131148,12.91666667
log-sigma-3-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,22669.71748,6195.196721,15215.58525,4910.791667
log-sigma-3-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,0.269851566,0.13226851,0.040819336,0.056643932
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis,0.005065298,0.015829459,0.005202741,0.025102282
log-sigma-3-0-mm-3D,gldm,SmallDependenceEmphasis,0.061357355,0.370752526,0.226458434,0.237435988
log-sigma-3-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,13.43150526,179.4582859,142.0857569,55.10161175
log-sigma-3-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.001425926,0.003494088,0.003126495,0.022928157
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformity,88.75451881,22.5250671,45.79096542,7.186336447
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.127062563,0.098441836,0.08442253,0.163537991
log-sigma-3-0-mm-3D,glrlm,GrayLevelVariance,5.763708339,34.29485031,40.14929608,15.72583259
log-sigma-3-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,270.4500728,531.6710521,664.0973681,326.9694062
log-sigma-3-0-mm-3D,glrlm,LongRunEmphasis,2.495104775,1.257250379,1.586605277,1.301683647
log-sigma-3-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,710.5591613,682.7231751,1063.992555,440.519726
log-sigma-3-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.010994754,0.01955478,0.006763985,0.028086976
log-sigma-3-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.005592908,0.015768554,0.005703543,0.027267276
log-sigma-3-0-mm-3D,glrlm,RunEntropy,4.19660356,4.224002007,4.616394335,3.244588937
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity,426.8899807,202.6138678,439.5372463,37.13066326
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.598398648,0.884424273,0.803211676,0.839935474
log-sigma-3-0-mm-3D,glrlm,RunPercentage,0.74380843,0.934110971,0.88259773,0.915064103
log-sigma-3-0-mm-3D,glrlm,RunVariance,0.548600348,0.096928183,0.232989819,0.094293936
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis,0.794006293,0.951375259,0.910420633,0.93095273
log-sigma-3-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,211.1045627,503.5648435,602.359199,301.0479494
log-sigma-3-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.0048303,0.014847782,0.005525875,0.027078862
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity,6.416666667,6.96460177,7.517647059,2.111111111
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.08912037,0.061633644,0.044221453,0.117283951
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance,13.44135802,41.9332759,74.32114187,27.79320988
log-sigma-3-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,225.3055556,490.3982301,631.5588235,271.5
log-sigma-3-0-mm-3D,glszm,LargeAreaEmphasis,590.1111111,10.5840708,68.65882353,12.55555556
log-sigma-3-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,179175.375,6158.902655,44275.42941,4701.888889
log-sigma-3-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,2.068098854,0.102766868,0.126807599,0.092941764
log-sigma-3-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.019703879,0.013991267,0.012516943,0.062266316
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformity,8.5,43,55.31764706,4.555555556
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.118055556,0.380530973,0.325397924,0.25308642
log-sigma-3-0-mm-3D,glszm,SmallAreaEmphasis,0.332232035,0.635470543,0.579648874,0.438638149
log-sigma-3-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,55.42534486,295.6843432,356.3176348,79.16558374
log-sigma-3-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.016464366,0.00518503,0.010312344,0.060560965
log-sigma-3-0-mm-3D,glszm,ZoneEntropy,5.70993312,5.538161074,6.275366416,3.947702779
log-sigma-3-0-mm-3D,glszm,ZonePercentage,0.076759062,0.463114754,0.278688525,0.375
log-sigma-3-0-mm-3D,glszm,ZoneVariance,420.3881173,5.921528702,55.783391,5.444444444
log-sigma-3-0-mm-3D,ngtdm,Busyness,0.134751794,0.013564943,0.020691462,0.018095675
log-sigma-3-0-mm-3D,ngtdm,Coarseness,0.022120995,0.082590467,0.034780138,0.25109499
log-sigma-3-0-mm-3D,ngtdm,Complexity,64.32368516,334.9824615,498.1634929,56.81118634
log-sigma-3-0-mm-3D,ngtdm,Contrast,0.017080617,0.07667465,0.03673629,0.172911729
log-sigma-3-0-mm-3D,ngtdm,Strength,4.251548775,35.51280321,35.14937847,47.1941766
log-sigma-5-0-mm-3D,firstorder,10Percentile,-95.88957062,-198.4424057,-168.1658798,-141.2591888
log-sigma-5-0-mm-3D,firstorder,90Percentile,91.09702988,68.76190948,109.0312813,35.29953194
log-sigma-5-0-mm-3D,firstorder,Energy,4443551.584,3306878.06,6834957.524,502955.8796
log-sigma-5-0-mm-3D,firstorder,Entropy,3.336187853,3.786690274,3.754187285,3.10314905
log-sigma-5-0-mm-3D,firstorder,InterquartileRange,99.23404121,153.7053452,136.8575993,75.08524513
log-sigma-5-0-mm-3D,firstorder,Kurtosis,2.798146008,1.854225711,3.469118116,2.639594788
log-sigma-5-0-mm-3D,firstorder,Maximum,110.0255203,113.9325867,353.379364,61.75690079
log-sigma-5-0-mm-3D,firstorder,MeanAbsoluteDeviation,54.5621088,88.01791389,79.57978319,54.74117192
log-sigma-5-0-mm-3D,firstorder,Mean,3.412036171,-59.89555964,-6.129435501,-76.97574418
log-sigma-5-0-mm-3D,firstorder,Median,5.529323101,-66.21972275,7.524509192,-97.17009735
log-sigma-5-0-mm-3D,firstorder,Minimum,-222.1319885,-252.5297546,-252.3169861,-207.1716766
log-sigma-5-0-mm-3D,firstorder,Range,332.1575089,366.4623413,605.6963501,268.9285774
log-sigma-5-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,39.43319446,69.78791498,52.42214281,37.26784762
log-sigma-5-0-mm-3D,firstorder,RootMeanSquared,68.82776923,116.4164032,105.8529565,102.3633113
log-sigma-5-0-mm-3D,firstorder,Skewness,-0.537885658,-0.096429726,-0.107889752,0.575313181
log-sigma-5-0-mm-3D,firstorder,TotalEnergy,4443551.584,3306878.06,6834957.524,502955.8796
log-sigma-5-0-mm-3D,firstorder,Uniformity,0.116072849,0.082840634,0.105788766,0.144097222
log-sigma-5-0-mm-3D,firstorder,Variance,4725.619826,9965.300871,11167.27842,4552.9823
log-sigma-5-0-mm-3D,glcm,Autocorrelation,97.62364781,72.71060705,139.5892371,45.55225021
log-sigma-5-0-mm-3D,glcm,ClusterProminence,2299.128132,5468.208537,14549.51927,761.6382816
log-sigma-5-0-mm-3D,glcm,ClusterShade,-68.60976578,111.4697337,-147.8179903,54.13241509
log-sigma-5-0-mm-3D,glcm,ClusterTendency,30.93299261,47.82203962,65.75585166,16.4291669
log-sigma-5-0-mm-3D,glcm,Contrast,0.701724446,1.320964483,1.43056828,1.517250271
log-sigma-5-0-mm-3D,glcm,Correlation,0.955785324,0.940050966,0.960343171,0.824867144
log-sigma-5-0-mm-3D,glcm,DifferenceAverage,0.580533045,0.773560874,0.670028229,0.810971507
log-sigma-5-0-mm-3D,glcm,DifferenceEntropy,1.21354251,1.439799244,1.443035818,1.293665794
log-sigma-5-0-mm-3D,glcm,DifferenceVariance,0.342750933,0.596829449,0.906167193,0.757383956
log-sigma-5-0-mm-3D,glcm,Id,0.729802959,0.686965429,0.742568162,0.685501322
log-sigma-5-0-mm-3D,glcm,Idm,0.721852618,0.664955729,0.72800132,0.66272885
log-sigma-5-0-mm-3D,glcm,Idmn,0.996456851,0.994963466,0.997928082,0.989935006
log-sigma-5-0-mm-3D,glcm,Idn,0.961802002,0.956198196,0.976113611,0.941242612
log-sigma-5-0-mm-3D,glcm,Imc1,-0.555459846,-0.61959636,-0.6205858,-0.752421402
log-sigma-5-0-mm-3D,glcm,Imc2,0.98707745,0.991712302,0.993639321,0.986955281
log-sigma-5-0-mm-3D,glcm,InverseVariance,0.475709711,0.438801756,0.378697089,0.428414991
log-sigma-5-0-mm-3D,glcm,JointAverage,9.489493248,7.788532328,11.10786071,6.458081875
log-sigma-5-0-mm-3D,glcm,JointEnergy,0.048702031,0.052252524,0.071112412,0.143374522
log-sigma-5-0-mm-3D,glcm,JointEntropy,4.848602943,4.781597914,4.897910339,3.234476276
log-sigma-5-0-mm-3D,glcm,MCC,0.972214493,0.998378847,0.988729517,0.994455082
log-sigma-5-0-mm-3D,glcm,MaximumProbability,0.103703073,0.125205724,0.206987997,0.254393577
log-sigma-5-0-mm-3D,glcm,SumAverage,18.9789865,15.57706466,22.21572142,12.91616375
log-sigma-5-0-mm-3D,glcm,SumEntropy,4.198152354,4.001911235,4.244470364,2.673158748
log-sigma-5-0-mm-3D,glcm,SumSquares,7.908679263,12.28575103,16.79660498,4.486604292
log-sigma-5-0-mm-3D,gldm,DependenceEntropy,6.730841759,6.072431488,6.60130349,4.240601563
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformity,80.75906183,40.95081967,59.13442623,13.875
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.086097081,0.167831228,0.096941682,0.2890625
log-sigma-5-0-mm-3D,gldm,DependenceVariance,12.03096003,4.071015856,12.0987799,7.534722222
log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity,108.8763326,20.21311475,64.53114754,6.916666667
log-sigma-5-0-mm-3D,gldm,GrayLevelVariance,7.640609017,16.2329179,18.10418973,7.62109375
log-sigma-5-0-mm-3D,gldm,HighGrayLevelEmphasis,100.358209,98.93852459,144.9065574,49.0625
log-sigma-5-0-mm-3D,gldm,LargeDependenceEmphasis,76.54371002,18.59836066,41.6852459,24.20833333
log-sigma-5-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,8144.215352,1687.430328,6013.755738,827.8958333
log-sigma-5-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,1.157266357,0.734924741,0.580284862,0.961661422
log-sigma-5-0-mm-3D,gldm,LowGrayLevelEmphasis,0.021332462,0.03883593,0.025066203,0.073521909
log-sigma-5-0-mm-3D,gldm,SmallDependenceEmphasis,0.036524533,0.187828269,0.15215335,0.164469513
log-sigma-5-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,3.636626059,21.96990479,25.35101001,11.09568
log-sigma-5-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.000915069,0.006862345,0.00309776,0.01526826
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformity,75.98460916,17.71449885,47.65045375,5.601727955
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.110828318,0.081362434,0.093596656,0.131892206
log-sigma-5-0-mm-3D,glrlm,GrayLevelVariance,7.871030156,16.30189842,19.72102402,8.222974611
log-sigma-5-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,98.84101334,99.8601677,144.6808728,50.84681244
log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,2.887652649,1.447407031,1.930000313,1.449661144
log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,300.5017297,142.5648913,282.337629,67.26264014
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.052946586,0.055640832,0.041254252,0.098813132
log-sigma-5-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.022995848,0.038725502,0.026571138,0.076996421
log-sigma-5-0-mm-3D,glrlm,RunEntropy,4.400908032,4.208295962,4.509547166,3.505341239
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformity,412.4768261,179.0040636,370.4167835,33.74166131
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.580436914,0.811079986,0.720054112,0.787923604
log-sigma-5-0-mm-3D,glrlm,RunPercentage,0.729539118,0.89186633,0.82925599,0.881410256
log-sigma-5-0-mm-3D,glrlm,RunVariance,0.661861121,0.147419777,0.386633901,0.130175239
log-sigma-5-0-mm-3D,glrlm,ShortRunEmphasis,0.768719751,0.91206612,0.868866524,0.89814082
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,75.14213507,92.06910155,125.8271327,47.09813399
log-sigma-5-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.018541118,0.035082801,0.023815008,0.071862958
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformity,4.6,5.058823529,7.016666667,1.75
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.102222222,0.074394464,0.058472222,0.109375
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance,10.21728395,17.2283737,28.26659722,11.5
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,95.26666667,110.2941176,160.325,60.5
log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,918.8,25.82352941,191.2166667,16.25
log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,100378.7111,2520.897059,28655.09167,618.5625
log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,12.66522814,0.823110303,1.94205237,0.773002116
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.043917723,0.042019343,0.025975007,0.093449097
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformity,2.644444444,14.20588235,28.03333333,9.25
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.058765432,0.208910035,0.233611111,0.578125
log-sigma-5-0-mm-3D,glszm,SmallAreaEmphasis,0.173886746,0.408291888,0.476429032,0.258232578
log-sigma-5-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,20.53013451,50.50909125,88.45654656,20.40420461
log-sigma-5-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.004267493,0.014701768,0.007249941,0.022538346
log-sigma-5-0-mm-3D,glszm,ZoneEntropy,5.208411152,5.366587106,5.967155963,3.577819531
log-sigma-5-0-mm-3D,glszm,ZonePercentage,0.047974414,0.278688525,0.196721311,0.333333333
log-sigma-5-0-mm-3D,glszm,ZoneVariance,484.3091358,12.94809689,165.3763889,7.25
log-sigma-5-0-mm-3D,ngtdm,Busyness,0.242115949,0.060886096,0.049347117,0.050179404
log-sigma-5-0-mm-3D,ngtdm,Coarseness,0.029251433,0.137799432,0.052797212,0.37018876
log-sigma-5-0-mm-3D,ngtdm,Complexity,29.20912831,37.61321155,110.828162,21.57588416
log-sigma-5-0-mm-3D,ngtdm,Contrast,0.028910618,0.058577985,0.021248565,0.067183096
log-sigma-5-0-mm-3D,ngtdm,Strength,2.464098094,11.45900836,17.73739077,17.80520226
