Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
original,shape,Flatness,0.199386742,0.192961408,0.304318325,
original,shape,LeastAxisLength,5.86235979,8.44725997,7.76505372,
original,shape,MajorAxisLength,29.4019539,43.77693986,25.5162213,
original,shape,Maximum2DDiameterColumn,23.19482701,27.45906044,27.07397274,
original,shape,Maximum2DDiameterRow,27.89265136,46.84015371,30.2654919,
original,shape,Maximum2DDiameterSlice,10.19803903,10.19803903,13,
original,shape,Maximum3DDiameter,31.20897307,49.979996,31.20897307,
original,shape,MeshVolume,153.875,176.5833333,679.9166667,
original,shape,MinorAxisLength,8.827221494,9.776200354,10.39019611,
original,shape,Sphericity,0.336232782,0.225698829,0.499468237,
original,shape,SurfaceArea,413.0057656,674.4057937,748.6520886,
original,shape,SurfaceVolumeRatio,2.68403422,3.819192791,1.101093892,
original,shape,VoxelVolume,206,278,710,
original,firstorder,10Percentile,30,53.7,212.8,
original,firstorder,90Percentile,63,134,1545.2,
original,firstorder,Energy,493108,2689547,638409784,
original,firstorder,Entropy,1.324856735,2.384682348,6.006045112,
original,firstorder,InterquartileRange,14,41.75,830.5,
original,firstorder,Kurtosis,6.191573522,10.89464755,2.123357676,
original,firstorder,Maximum,112,340,2157,
original,firstorder,MeanAbsoluteDeviation,10.38354228,27.29152218,420.2109105,
original,firstorder,Mean,46.61165049,90.60791367,810.5492958,
original,firstorder,Median,46,82,732.5,
original,firstorder,Minimum,13,1,32,
original,firstorder,Range,99,339,2125,
original,firstorder,RobustMeanAbsoluteDeviation,6.31976765,17.19568059,329.1804268,
original,firstorder,RootMeanSquared,48.92574123,98.35969447,948.2450685,
original,firstorder,Skewness,1.206786317,2.040304782,0.434910796,
original,firstorder,TotalEnergy,493108,2689547,638409784,
original,firstorder,Uniformity,0.502733528,0.242999845,0.017794088,
original,firstorder,Variance,221.0821944,1464.835477,242178.549,
original,glcm,Autocorrelation,5.178172432,16.98327237,1500.583976,
original,glcm,ClusterProminence,1.989721052,76.35025256,2996253.413,
original,glcm,ClusterShade,0.647472525,8.513697528,4683.051913,
original,glcm,ClusterTendency,0.669299152,4.16398832,1180.337532,
original,glcm,Contrast,0.604628913,3.292618251,379.8974511,
original,glcm,Correlation,0.070735324,0.122436502,0.512362148,
original,glcm,DifferenceAverage,0.44346174,1.257546626,15.0455222,
original,glcm,DifferenceEntropy,1.191651172,1.994838262,5.201818452,
original,glcm,DifferenceVariance,0.398233129,1.673884191,145.6127958,
original,glcm,Id,0.802151696,0.582570005,0.148870901,
original,glcm,Idm,0.794313449,0.54117314,0.080292167,
original,glcm,Idmn,0.97844027,0.984575485,0.955394951,
original,glcm,Idn,0.929711008,0.92358075,0.862875136,
original,glcm,Imc1,-0.064488609,-0.154930593,-0.432050282,
original,glcm,Imc2,0.345555434,0.694120689,0.997312398,
original,glcm,InverseVariance,0.330062705,0.452098754,0.083694701,
original,glcm,JointAverage,2.271236486,4.093533635,36.05344168,
original,glcm,JointEnergy,0.377903318,0.082906452,0.001485873,
original,glcm,JointEntropy,2.013081177,4.105076276,9.524269649,
original,glcm,MCC,0.278301149,0.506766177,0.704600554,
original,glcm,MaximumProbability,0.573440044,0.159253883,0.005216292,
original,glcm,SumAverage,4.542472973,8.18706727,72.10688336,
original,glcm,SumEntropy,1.522497397,2.804535272,6.793635579,
original,glcm,SumSquares,0.318482016,1.864151643,390.0587457,
original,gldm,DependenceEntropy,4.777530851,4.564444087,6.996411691,
original,gldm,DependenceNonUniformity,16.59223301,50.79856115,349.0140845,
original,gldm,DependenceNonUniformityNormalized,0.08054482,0.182728637,0.491569133,
original,gldm,DependenceVariance,29.86266378,2.992753998,0.65547312,
original,gldm,GrayLevelNonUniformity,103.5631068,67.55395683,12.63380282,
original,gldm,GrayLevelVariance,0.436351211,2.409036799,387.6403273,
original,gldm,HighGrayLevelEmphasis,5.888349515,19.82014388,1407.947887,
original,gldm,LargeDependenceEmphasis,76.44660194,11.94964029,2.867605634,
original,gldm,LargeDependenceHighGrayLevelEmphasis,320.7524272,164.5251799,3474.060563,
original,gldm,LargeDependenceLowGrayLevelEmphasis,18.75224245,1.034720384,0.031103189,
original,gldm,LowGrayLevelEmphasis,0.230195523,0.080959077,0.007893805,
original,gldm,SmallDependenceEmphasis,0.170879704,0.325690172,0.719207453,
original,gldm,SmallDependenceHighGrayLevelEmphasis,1.537149272,9.056864672,1063.264883,
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.045741383,0.027446692,0.004871527,
original,glrlm,GrayLevelNonUniformity,70.81048739,60.1946417,12.31196258,
original,glrlm,GrayLevelNonUniformityNormalized,0.440157841,0.233940327,0.017671512,
original,glrlm,GrayLevelVariance,0.518619242,2.535858267,385.6412528,
original,glrlm,HighGrayLevelRunEmphasis,6.325639458,20.33613835,1412.392682,
original,glrlm,LongRunEmphasis,2.32930627,1.320608142,1.058201068,
original,glrlm,LongRunHighGrayLevelEmphasis,12.16376943,24.74845999,1480.135828,
original,glrlm,LongRunLowGrayLevelEmphasis,0.546898404,0.10799949,0.008496021,
original,glrlm,LowGrayLevelRunEmphasis,0.227807865,0.080631798,0.007826408,
original,glrlm,RunEntropy,2.317795938,2.789236574,6.096745912,
original,glrlm,RunLengthNonUniformity,109.9461509,224.7613511,671.1217525,
original,glrlm,RunLengthNonUniformityNormalized,0.677631154,0.869147923,0.963154466,
original,glrlm,RunPercentage,0.775952203,0.923353625,0.981256771,
original,glrlm,RunVariance,0.569069336,0.12453876,0.01939856,
original,glrlm,ShortRunEmphasis,0.845125926,0.943622262,0.985820293,
original,glrlm,ShortRunHighGrayLevelEmphasis,5.611840101,19.52690213,1395.497213,
original,glrlm,ShortRunLowGrayLevelEmphasis,0.191400487,0.075890286,0.007666371,
original,glszm,GrayLevelNonUniformity,10.07692308,16.48076923,9.483985765,
original,glszm,GrayLevelNonUniformityNormalized,0.258382643,0.158468935,0.01687542,
original,glszm,GrayLevelVariance,1.18869165,4.322392751,365.1034213,
original,glszm,HighGrayLevelZoneEmphasis,9,27.52884615,1466.233096,
original,glszm,LargeAreaEmphasis,252.1025641,31.28846154,2.224199288,
original,glszm,LargeAreaHighGrayLevelEmphasis,1068.846154,373.2692308,2596.663701,
original,glszm,LargeAreaLowGrayLevelEmphasis,61.56099003,3.024656204,0.023712397,
original,glszm,LowGrayLevelZoneEmphasis,0.262735043,0.080665397,0.007082405,
original,glszm,SizeZoneNonUniformity,14.07692308,43.07692308,384.8113879,
original,glszm,SizeZoneNonUniformityNormalized,0.360946746,0.414201183,0.684717772,
original,glszm,SmallAreaEmphasis,0.621497767,0.666205379,0.854061635,
original,glszm,SmallAreaHighGrayLevelEmphasis,6.283003571,20.46499085,1276.783082,
original,glszm,SmallAreaLowGrayLevelEmphasis,0.185900804,0.058703456,0.005574355,
original,glszm,ZoneEntropy,3.688461836,4.459585575,6.708822626,
original,glszm,ZonePercentage,0.189320388,0.374100719,0.791549296,
original,glszm,ZoneVariance,224.2024984,24.1431213,0.628158205,
original,ngtdm,Busyness,2.827386006,0.88784721,0.068132733,
original,ngtdm,Coarseness,0.026944829,0.021196652,0.008506735,
original,ngtdm,Complexity,4.889586204,62.68659352,25841.47471,
original,ngtdm,Contrast,0.021140495,0.044757193,1.202468129,
original,ngtdm,Strength,0.288430574,1.735506975,23.89141804,
log-sigma-1-0-mm-3D,firstorder,10Percentile,10.74666977,12.24230642,-545.2981323,
log-sigma-1-0-mm-3D,firstorder,90Percentile,119.2622719,130.7733002,44.05838547,
log-sigma-1-0-mm-3D,firstorder,Energy,1138932.956,2660491.674,74388296.15,
log-sigma-1-0-mm-3D,firstorder,Entropy,2.65523524,2.765327098,5.16035887,
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,46.97112465,41.55241013,359.053668,
log-sigma-1-0-mm-3D,firstorder,Kurtosis,5.895470892,17.06661842,2.97617506,
log-sigma-1-0-mm-3D,firstorder,Maximum,243.69104,540.7791748,493.4667664,
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,34.00367402,44.87281093,200.6738485,
