Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
log-sigma-3-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,16.3959824,119.3847144,163.6613823,
log-sigma-3-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.010156542,0.00559363,0.002846806,
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformity,27.41278861,37.63329896,25.28120797,
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.145616043,0.143612051,0.037941525,
log-sigma-3-0-mm-3D,glrlm,GrayLevelVariance,4.789090392,10.72673676,60.5771538,
log-sigma-3-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,83.07775525,366.2519898,516.5516611,
log-sigma-3-0-mm-3D,glrlm,LongRunEmphasis,1.457346061,1.255693242,1.216188012,
log-sigma-3-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,121.818575,466.8710071,630.5583987,
log-sigma-3-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.029556321,0.008400098,0.010107393,
log-sigma-3-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.022394525,0.007714461,0.008242808,
log-sigma-3-0-mm-3D,glrlm,RunEntropy,3.419120783,3.51948678,5.172386726,
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity,165.208324,238.4461135,590.8387124,
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.859608899,0.899833106,0.885140326,
log-sigma-3-0-mm-3D,glrlm,RunPercentage,0.913741598,0.941615938,0.938461538,
log-sigma-3-0-mm-3D,glrlm,RunVariance,0.166970691,0.088778916,0.076614741,
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis,0.931300603,0.954116556,0.953175884,
log-sigma-3-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,76.82714836,348.0196138,492.2849265,
log-sigma-3-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.021463905,0.00759097,0.007791635,
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity,7.310344828,14.6,10.87323944,
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.126040428,0.112307692,0.038286054,
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance,6.286563615,16.06751479,57.69430669,
log-sigma-3-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,74.20689655,344.7923077,505.2253521,
log-sigma-3-0-mm-3D,glszm,LargeAreaEmphasis,33.96551724,7.738461538,12.82394366,
log-sigma-3-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,2995.310345,2971.453846,6740.626761,
log-sigma-3-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,0.477814679,0.030646098,0.086944493,
log-sigma-3-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.039133724,0.012645731,0.009101427,
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformity,14.75862069,44.01538462,87.52816901,
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.254458977,0.338579882,0.308197778,
log-sigma-3-0-mm-3D,glszm,SmallAreaEmphasis,0.494338974,0.594900404,0.568716564,
log-sigma-3-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,31.00412803,190.0626677,284.2206221,
log-sigma-3-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.031316802,0.011467111,0.005678285,
log-sigma-3-0-mm-3D,glszm,ZoneEntropy,4.847132883,5.204560509,6.555786404,
log-sigma-3-0-mm-3D,glszm,ZonePercentage,0.281553398,0.467625899,0.4,
log-sigma-3-0-mm-3D,glszm,ZoneVariance,21.35077289,3.165443787,6.573943662,
log-sigma-3-0-mm-3D,ngtdm,Busyness,0.160394589,0.05744113,0.060652047,
log-sigma-3-0-mm-3D,ngtdm,Coarseness,0.043863819,0.029437003,0.02329038,
log-sigma-3-0-mm-3D,ngtdm,Complexity,71.77027911,284.2239512,783.7619263,
log-sigma-3-0-mm-3D,ngtdm,Contrast,0.046257354,0.04694412,0.153009944,
log-sigma-3-0-mm-3D,ngtdm,Strength,3.474261001,13.31291345,11.34228356,
log-sigma-5-0-mm-3D,firstorder,10Percentile,-149.1691971,-220.1799683,-415.9827911,
log-sigma-5-0-mm-3D,firstorder,90Percentile,-35.32945442,-57.24553452,-103.6344017,
log-sigma-5-0-mm-3D,firstorder,Energy,2035219.18,5088443.064,59776753.22,
log-sigma-5-0-mm-3D,firstorder,Entropy,2.690979704,3.045809531,4.088692595,
log-sigma-5-0-mm-3D,firstorder,InterquartileRange,44.66421127,60.82418633,174.8079987,
log-sigma-5-0-mm-3D,firstorder,Kurtosis,7.405566823,5.567498772,2.083764694,
log-sigma-5-0-mm-3D,firstorder,Maximum,-11.59729862,-37.67941284,-50.33714294,
log-sigma-5-0-mm-3D,firstorder,MeanAbsoluteDeviation,34.80502739,49.05113046,94.59776101,
log-sigma-5-0-mm-3D,firstorder,Mean,-85.29469503,-117.8646287,-267.2915752,
log-sigma-5-0-mm-3D,firstorder,Median,-76.20163727,-100.5564842,-271.3262939,
log-sigma-5-0-mm-3D,firstorder,Minimum,-304.6571045,-386.1829834,-491.1542358,
log-sigma-5-0-mm-3D,firstorder,Range,293.0598059,348.5035706,440.8170929,
log-sigma-5-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,19.03130802,29.96434749,71.40929862,
log-sigma-5-0-mm-3D,firstorder,RootMeanSquared,99.39670396,135.2913598,290.1596288,
log-sigma-5-0-mm-3D,firstorder,Skewness,-1.892104598,-1.600505644,0.097152124,
log-sigma-5-0-mm-3D,firstorder,TotalEnergy,2035219.18,5088443.064,59776753.22,
log-sigma-5-0-mm-3D,firstorder,Uniformity,0.198463569,0.157704053,0.061281492,
log-sigma-5-0-mm-3D,firstorder,Variance,2604.519758,4411.68134,12747.82399,
log-sigma-5-0-mm-3D,glcm,Autocorrelation,112.0287318,141.6221523,94.96188984,
log-sigma-5-0-mm-3D,glcm,ClusterProminence,809.8282268,2197.58849,12239.23912,
log-sigma-5-0-mm-3D,glcm,ClusterShade,-57.16326069,-131.0767083,206.3269682,
log-sigma-5-0-mm-3D,glcm,ClusterTendency,8.619392848,24.74349374,73.14152101,
log-sigma-5-0-mm-3D,glcm,Contrast,1.318700538,1.917034627,3.374164404,
log-sigma-5-0-mm-3D,glcm,Correlation,0.706545013,0.849903352,0.910689129,
log-sigma-5-0-mm-3D,glcm,DifferenceAverage,0.857954656,0.953810306,1.448576273,
log-sigma-5-0-mm-3D,glcm,DifferenceEntropy,1.274123277,1.707472961,2.034410834,
log-sigma-5-0-mm-3D,glcm,DifferenceVariance,0.422396673,0.903535318,1.172790991,
log-sigma-5-0-mm-3D,glcm,Id,0.640959265,0.64773058,0.520262921,
log-sigma-5-0-mm-3D,glcm,Idm,0.616613769,0.615520131,0.459695146,
log-sigma-5-0-mm-3D,glcm,Idmn,0.992373701,0.991749254,0.989857009,
log-sigma-5-0-mm-3D,glcm,Idn,0.940859139,0.943732192,0.928566359,
log-sigma-5-0-mm-3D,glcm,Imc1,-0.384816486,-0.484136636,-0.383395376,
log-sigma-5-0-mm-3D,glcm,Imc2,0.902475349,0.969113471,0.974599369,
log-sigma-5-0-mm-3D,glcm,InverseVariance,0.51613694,0.422647102,0.425033543,
log-sigma-5-0-mm-3D,glcm,JointAverage,10.49670188,11.65764429,8.799311338,
log-sigma-5-0-mm-3D,glcm,JointEnergy,0.106210268,0.067665693,0.01214197,
log-sigma-5-0-mm-3D,glcm,JointEntropy,3.722508334,4.546134523,6.54705683,
log-sigma-5-0-mm-3D,glcm,MCC,0.899404818,0.944597684,0.959440824,
log-sigma-5-0-mm-3D,glcm,MaximumProbability,0.185148834,0.171278222,0.029546283,
log-sigma-5-0-mm-3D,glcm,SumAverage,20.99340375,23.31528858,17.59862268,
log-sigma-5-0-mm-3D,glcm,SumEntropy,2.919039093,3.663020949,4.961142086,
log-sigma-5-0-mm-3D,glcm,SumSquares,2.484523347,6.665132091,19.12892135,
log-sigma-5-0-mm-3D,gldm,DependenceEntropy,5.409267655,5.277000551,6.623843943,
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformity,23.84466019,45.20143885,100.1577465,
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.115750778,0.162595104,0.141067249,
log-sigma-5-0-mm-3D,gldm,DependenceVariance,6.090677726,3.130013974,6.24360246,
log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity,40.88349515,43.84172662,43.50985915,
log-sigma-5-0-mm-3D,gldm,GrayLevelVariance,4.265812046,7.16665804,20.6044753,
log-sigma-5-0-mm-3D,gldm,HighGrayLevelEmphasis,105.8252427,145.5251799,116.7549296,
log-sigma-5-0-mm-3D,gldm,LargeDependenceEmphasis,26.91262136,16.69784173,29.71830986,
log-sigma-5-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,3120.23301,2719.669065,4819.746479,
log-sigma-5-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,0.257062242,0.148484697,2.005406146,
log-sigma-5-0-mm-3D,gldm,LowGrayLevelEmphasis,0.0187878,0.01776224,0.041529851,
log-sigma-5-0-mm-3D,gldm,SmallDependenceEmphasis,0.18427097,0.191970592,0.10381191,
log-sigma-5-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,14.82396023,22.31033638,12.07034768,
log-sigma-5-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.009164801,0.004859024,0.001931486,
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformity,33.69393562,37.91696114,38.18711303,
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.188228204,0.151318645,0.063166489,
log-sigma-5-0-mm-3D,glrlm,GrayLevelVariance,4.705641139,7.525120418,19.11013441,
log-sigma-5-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,104.1195713,143.5699971,112.9470446,
log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,1.721173324,1.535424957,1.618366768,
log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,186.8434383,228.7307921,201.5954546,
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.027557194,0.024165179,0.07271243,
log-sigma-5-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.020457215,0.018664341,0.038358483,
log-sigma-5-0-mm-3D,glrlm,RunEntropy,3.285883846,3.517755012,4.671003853,
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformity,144.7614302,211.6960527,455.0390488,
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.790287067,0.833344354,0.74708256,
log-sigma-5-0-mm-3D,glrlm,RunPercentage,0.862957431,0.89679026,0.852112676,
log-sigma-5-0-mm-3D,glrlm,RunVariance,0.247024632,0.199340714,0.220365394,
log-sigma-5-0-mm-3D,glrlm,ShortRunEmphasis,0.893940142,0.917950014,0.886168527,
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,91.95697463,130.4557993,97.85029287,
log-sigma-5-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.019349569,0.017651299,0.031118167,
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformity,4.772727273,6.771428571,6.392405063,
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.108471074,0.096734694,0.08091652,
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance,8.969008264,10.89714286,13.73658068,
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,79.68181818,119.0571429,132.5189873,
log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,115.6818182,57.31428571,212.3544304,
log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,13611.45455,9465.257143,21586.05063,
log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,1.067076751,0.445871707,8.010099706,
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.047695129,0.030468004,0.027728761,
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformity,14.81818182,15.25714286,10.06329114,
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.33677686,0.217959184,0.127383432,
log-sigma-5-0-mm-3D,glszm,SmallAreaEmphasis,0.597070285,0.454992528,0.350295499,
log-sigma-5-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,41.23835457,45.59098598,48.35419106,
log-sigma-5-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.0387484,0.012149633,0.003306619,
log-sigma-5-0-mm-3D,glszm,ZoneEntropy,4.7089873,5.30393391,5.724357489,
log-sigma-5-0-mm-3D,glszm,ZonePercentage,0.213592233,0.251798561,0.111267606,
log-sigma-5-0-mm-3D,glszm,ZoneVariance,93.76239669,41.54204082,131.5821183,
log-sigma-5-0-mm-3D,ngtdm,Busyness,0.111563293,0.082008652,0.283937669,
log-sigma-5-0-mm-3D,ngtdm,Coarseness,0.05116052,0.052706733,0.033965618,
log-sigma-5-0-mm-3D,ngtdm,Complexity,48.08662011,61.29018243,70.59250437,
log-sigma-5-0-mm-3D,ngtdm,Contrast,0.030822307,0.0376687,0.089886182,
log-sigma-5-0-mm-3D,ngtdm,Strength,6.211852245,7.819501107,3.617104616,
