"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"diagnostics","Mask-interpolated","Mean","-6.224747474747475","42.686619718309856","","85.95"
"diagnostics","Mask-interpolated","Minimum","-105.0","-9.0","","-2.0"
"diagnostics","Mask-interpolated","Maximum","90.0","142.0","","224.0"
"original","shape","Elongation","0.6041321259584389","0.6351016268040357","","0.5327096979253968"
"original","shape","Flatness","0.3942243786567441","0.39450365102268936","","0.35360677514349304"
"original","shape","LeastAxisLength","13.068493010320953","13.637187203232411","","13.288272864122131"
"original","shape","MajorAxisLength","33.14988549122643","34.56796196405312","","37.57923715893105"
"original","shape","Maximum2DDiameterColumn","33.1058907144937","34.17601498127012","","33.83784863137726"
"original","shape","Maximum2DDiameterRow","31.32091952673165","33.61547262794322","","36.235341863986875"
"original","shape","Maximum2DDiameterSlice","20.248456731316587","20.248456731316587","","20.591260281974"
"original","shape","Maximum3DDiameter","33.83784863137726","35.90264614203248","","36.578682316343766"
"original","shape","MeshVolume","654.9583333333334","264.2083333333333","","564.2083333333334"
"original","shape","MinorAxisLength","20.02691079709343","21.954168878670163","","20.018824075201003"
"original","shape","Sphericity","0.2367039426347657","0.14443487902362737","","0.1678768747997483"
"original","shape","SurfaceArea","1540.8288952605067","1378.6151606725157","","1966.9179617576617"
"original","shape","SurfaceVolumeRatio","2.352560181070816","5.217909455313102","","3.4861554598762186"
"original","shape","VoxelVolume","792.0","568.0","","880.0"
"original","firstorder","10Percentile","-45.0","19.0","","55.0"
"original","firstorder","90Percentile","27.0","66.0","","136.0"
"original","firstorder","Energy","709128.0","1252496.0","","7486430.0"
"original","firstorder","Entropy","2.2816446422784233","1.7490856349511648","","2.2364726187955393"
"original","firstorder","InterquartileRange","37.25","23.0","","31.0"
"original","firstorder","Kurtosis","3.5665767895669473","4.483342583468385","","5.345840910221122"
"original","firstorder","Maximum","90.0","142.0","","224.0"
"original","firstorder","MeanAbsoluteDeviation","22.9549153147638","14.894527375520731","","24.528181818181817"
"original","firstorder","Mean","-6.224747474747475","42.686619718309856","","85.95"
"original","firstorder","Median","-4.0","41.0","","77.0"
"original","firstorder","Minimum","-105.0","-9.0","","-2.0"
"original","firstorder","Range","195.0","151.0","","226.0"
"original","firstorder","RobustMeanAbsoluteDeviation","16.204746523018528","10.103305785123968","","14.61731144109889"
"original","firstorder","RootMeanSquared","29.92262749765863","46.95847731293356","","92.23506284587124"
"original","firstorder","Skewness","-0.1462959462888078","0.5730678926885983","","1.4414042253733785"
"original","firstorder","TotalEnergy","709128.0","1252496.0","","7486430.0"
"original","firstorder","Uniformity","0.24897650749923475","0.3576671295377902","","0.27836002066115706"
"original","firstorder","Variance","856.6161552392613","382.95108857369576","","1119.904318181818"
"original","glcm","Autocorrelation","26.38359716239884","10.535594789815544","","24.035475693948754"
"original","glcm","ClusterProminence","42.249619558044635","8.999946903184961","","87.13692877189015"
"original","glcm","ClusterShade","-1.613704005842986","0.903652010872693","","10.700706842501255"
"original","glcm","ClusterTendency","3.421325022561178","1.3691460455358562","","3.6158303838462063"
"original","glcm","Contrast","2.3530330780881172","0.9854490445212998","","2.3225972179809578"
"original","glcm","Correlation","0.1903136224737753","0.16240400431879648","","0.21542524199195096"
