Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous,Segmentation_segment_IPH
log-sigma-3-0-mm-3D,gldm,LargeDependenceEmphasis,26.15183246,51.43478261,17.79532164,5.6
log-sigma-3-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,539.5602094,503.7934783,294.0584795,44.2
log-sigma-3-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,2.395951134,6.281002415,1.584721824,1.342361111
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis,0.100509521,0.120513285,0.083299734,0.297916667
log-sigma-3-0-mm-3D,gldm,SmallDependenceEmphasis,0.132837572,0.076147078,0.166372091,0.353472222
log-sigma-3-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,2.254410868,1.242083097,3.208641401,2.98125
log-sigma-3-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.012655075,0.015564178,0.01400228,0.092746914
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformity,72.52449235,22.30390758,72.27974594,3.66984127
log-sigma-3-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.219196857,0.30929095,0.237158546,0.39696649
log-sigma-3-0-mm-3D,glrlm,GrayLevelVariance,1.669630866,0.851245426,1.553270332,0.868007055
log-sigma-3-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,18.88400694,12.18078545,18.74220712,7.612698413
log-sigma-3-0-mm-3D,glrlm,LongRunEmphasis,1.713934776,2.104267835,1.61990765,1.428571429
log-sigma-3-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,33.31288558,23.61324176,28.99572104,10.8984127
log-sigma-3-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.174443384,0.251642483,0.138749192,0.411585097
log-sigma-3-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.100611113,0.121013409,0.08278826,0.300473986
log-sigma-3-0-mm-3D,glrlm,RunEntropy,2.959648693,2.72107472,2.790640083,1.855198951
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity,267.6925242,48.37084285,260.3600862,8.111111111
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.789218247,0.659474361,0.835144063,0.856261023
log-sigma-3-0-mm-3D,glrlm,RunPercentage,0.866693516,0.782608696,0.891138102,0.914285714
log-sigma-3-0-mm-3D,glrlm,RunVariance,0.241925233,0.391672089,0.230515914,0.107583774
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis,0.89313638,0.829448325,0.916784324,0.919312169
log-sigma-3-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,16.73700486,10.38735227,17.21702468,7.029365079
log-sigma-3-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.0906682,0.100825971,0.075875719,0.275635655
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity,15.84848485,1.888888889,15.02857143,1.4
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.240128558,0.209876543,0.214693878,0.28
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance,1.500459137,2.172839506,1.743877551,1.04
log-sigma-3-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,16.54545455,16.44444444,20.72857143,7.8
log-sigma-3-0-mm-3D,glszm,LargeAreaEmphasis,113.0606061,289.3333333,64.6,5.2
log-sigma-3-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,2380,3144.111111,974.5714286,40.8
log-sigma-3-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,8.281367587,30.85895062,6.038288954,1.306944444
log-sigma-3-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.101723356,0.18404321,0.082695194,0.306944444
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformity,11.87878788,2.333333333,14.17142857,1.8
log-sigma-3-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.179981635,0.259259259,0.20244898,0.36
log-sigma-3-0-mm-3D,glszm,SmallAreaEmphasis,0.343871453,0.479944728,0.431717752,0.5125
log-sigma-3-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,5.083500208,8.53988237,8.482108158,4.6125
log-sigma-3-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.030612183,0.129633606,0.036773099,0.119444444
log-sigma-3-0-mm-3D,glszm,ZoneEntropy,4.529041567,2.947702779,4.695873068,2.321928095
log-sigma-3-0-mm-3D,glszm,ZonePercentage,0.172774869,0.097826087,0.204678363,0.5
log-sigma-3-0-mm-3D,glszm,ZoneVariance,79.5610652,184.8395062,40.72979592,1.2
log-sigma-3-0-mm-3D,ngtdm,Busyness,1.28012007,0.550631008,1.204594263,0.288333333
log-sigma-3-0-mm-3D,ngtdm,Coarseness,0.028430784,0.088967539,0.024679505,0.346820809
log-sigma-3-0-mm-3D,ngtdm,Complexity,8.178217908,6.46959925,14.02125419,4.716269841
log-sigma-3-0-mm-3D,ngtdm,Contrast,0.035724246,0.023475251,0.029915611,0.1155
log-sigma-3-0-mm-3D,ngtdm,Strength,0.461862864,1.079721042,0.602025289,2.036363636
log-sigma-5-0-mm-3D,firstorder,10Percentile,-76.51869354,-42.08520546,-80.58058472,-56.95680199
log-sigma-5-0-mm-3D,firstorder,90Percentile,-24.38156071,-15.31593733,-31.21907806,-43.93546486
log-sigma-5-0-mm-3D,firstorder,Energy,1105588.822,88459.78817,1302346.209,26029.8879
log-sigma-5-0-mm-3D,firstorder,Entropy,1.808370552,1.021084742,1.856073907,1
log-sigma-5-0-mm-3D,firstorder,InterquartileRange,26.2611599,14.41986513,29.56844902,9.073194504
log-sigma-5-0-mm-3D,firstorder,Kurtosis,2.895515997,2.48048267,4.221757925,2.152090305
log-sigma-5-0-mm-3D,firstorder,Maximum,0.169992685,-5.21799612,-4.725445747,-42.43080139
log-sigma-5-0-mm-3D,firstorder,MeanAbsoluteDeviation,15.73336759,8.374488939,16.76631313,5.246224976
log-sigma-5-0-mm-3D,firstorder,Mean,-50.04027996,-29.32159152,-57.9322603,-50.65952606
log-sigma-5-0-mm-3D,firstorder,Median,-51.79819489,-29.18461609,-56.68076706,-49.31959915
log-sigma-5-0-mm-3D,firstorder,Minimum,-105.1011353,-54.46071625,-143.7429962,-62.50204468
log-sigma-5-0-mm-3D,firstorder,Range,105.2711279,49.24272013,139.0175505,20.07124329
log-sigma-5-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,10.83219686,6.022273037,11.77318892,4.048875809
log-sigma-5-0-mm-3D,firstorder,RootMeanSquared,53.79787706,31.00837688,61.70923635,51.01949421
log-sigma-5-0-mm-3D,firstorder,Skewness,0.074042353,0.043573104,-0.431203683,-0.459942513
log-sigma-5-0-mm-3D,firstorder,TotalEnergy,1105588.822,88459.78817,1302346.209,26029.8879
log-sigma-5-0-mm-3D,firstorder,Uniformity,0.327828185,0.526228733,0.320662768,0.5
log-sigma-5-0-mm-3D,firstorder,Variance,390.1819576,101.7637075,451.8830675,36.60120884
log-sigma-5-0-mm-3D,glcm,Autocorrelation,12.10945861,5.68426122,18.9447182,2.452380952
log-sigma-5-0-mm-3D,glcm,ClusterProminence,11.19833135,0.628884041,10.71562652,0.131613757
log-sigma-5-0-mm-3D,glcm,ClusterShade,0.192570387,0.080147557,-0.149892571,0.034391534
log-sigma-5-0-mm-3D,glcm,ClusterTendency,1.967874426,0.562784182,2.041373431,0.150793651
log-sigma-5-0-mm-3D,glcm,Contrast,0.448027638,0.415312531,0.41049212,0.666666667
log-sigma-5-0-mm-3D,glcm,Correlation,0.627958902,0.145024742,0.658911719,-0.382312925
log-sigma-5-0-mm-3D,glcm,DifferenceAverage,0.432086186,0.415312531,0.405930016,0.666666667
log-sigma-5-0-mm-3D,glcm,DifferenceEntropy,0.921337915,0.834049146,0.920863568,0.235717489
log-sigma-5-0-mm-3D,glcm,DifferenceVariance,0.22436504,0.197744462,0.223554355,0.055555556
log-sigma-5-0-mm-3D,glcm,Id,0.786613815,0.792343734,0.797795343,0.666666667
log-sigma-5-0-mm-3D,glcm,Idm,0.785551052,0.792343734,0.797491202,0.666666667
log-sigma-5-0-mm-3D,glcm,Idmn,0.987955772,0.958468747,0.988924113,0.866666667
log-sigma-5-0-mm-3D,glcm,Idn,0.938558071,0.896171867,0.942091464,0.777777778
log-sigma-5-0-mm-3D,glcm,Imc1,-0.315885345,-0.194074355,-0.322125647,-0.641692709
log-sigma-5-0-mm-3D,glcm,Imc2,0.766476791,0.47772423,0.785753382,0.697675217
log-sigma-5-0-mm-3D,glcm,InverseVariance,0.418137417,0.415312531,0.401938174,0.666666667
log-sigma-5-0-mm-3D,glcm,JointAverage,3.424563714,2.375979456,4.303851428,1.595238095
log-sigma-5-0-mm-3D,glcm,JointEnergy,0.189623993,0.325098379,0.180380477,0.535714286
log-sigma-5-0-mm-3D,glcm,JointEntropy,2.798482752,1.796542125,2.803295646,1.017973512
log-sigma-5-0-mm-3D,glcm,MCC,0.700873939,0.42884949,0.699233771,0.71292517
log-sigma-5-0-mm-3D,glcm,MaximumProbability,0.289879333,0.41943791,0.288591011,0.571428571
log-sigma-5-0-mm-3D,glcm,SumAverage,6.849127427,4.751958911,8.607702855,3.19047619
log-sigma-5-0-mm-3D,glcm,SumEntropy,2.339330051,1.381229593,2.388152531,0.351306845
log-sigma-5-0-mm-3D,glcm,SumSquares,0.603975516,0.244524178,0.612966388,0.204365079
log-sigma-5-0-mm-3D,gldm,DependenceEntropy,5.13248426,4.270421998,4.918869917,1.846439345
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformity,39.57068063,9.739130435,38.68421053,5.2
log-sigma-5-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.103588169,0.105860113,0.113111727,0.52
log-sigma-5-0-mm-3D,gldm,DependenceVariance,9.29574299,8.18194707,7.259532848,0.24
log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity,125.2303665,48.41304348,109.6666667,5
log-sigma-5-0-mm-3D,gldm,GrayLevelVariance,0.725281653,0.248582231,0.813139086,0.25
log-sigma-5-0-mm-3D,gldm,HighGrayLevelEmphasis,12.7382199,5.760869565,18.05263158,2.5
log-sigma-5-0-mm-3D,gldm,LargeDependenceEmphasis,44.23560209,84.93478261,35.26900585,6
log-sigma-5-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,523.4554974,468.1304348,677.9005848,16.5
log-sigma-5-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,4.571069663,17.67451691,2.09339425,3.375
log-sigma-5-0-mm-3D,gldm,LowGrayLevelEmphasis,0.10509235,0.208333333,0.076084308,0.625
log-sigma-5-0-mm-3D,gldm,SmallDependenceEmphasis,0.081371157,0.031661773,0.103485419,0.194444444
log-sigma-5-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,1.164979067,0.138080924,1.667413354,0.444444444
log-sigma-5-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.008785481,0.014844214,0.010833372,0.131944444
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformity,99.22485586,33.32388234,89.6191927,4.53015873
log-sigma-5-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.319195275,0.519211877,0.313378649,0.504620811
log-sigma-5-0-mm-3D,glrlm,GrayLevelVariance,0.762128244,0.258243438,0.859167706,0.247689594
log-sigma-5-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,12.90164602,5.774950909,17.86780021,2.495238095
log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,2.213685069,3.333213474,2.107940044,1.580952381
log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,27.45052926,19.35862972,38.17190791,3.876190476
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.230507153,0.67709046,0.151419612,1.007142857
log-sigma-5-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.105560925,0.211865561,0.078931235,0.626190476
log-sigma-5-0-mm-3D,glrlm,RunEntropy,2.595378297,2.143754995,2.578089401,1.232173761
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformity,232.2346644,39.38852107,220.9202617,8.092063492
log-sigma-5-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.727301009,0.56639002,0.751143204,0.86356261
log-sigma-5-0-mm-3D,glrlm,RunPercentage,0.811115586,0.701505017,0.834907782,0.9
log-sigma-5-0-mm-3D,glrlm,RunVariance,0.405710643,0.69888339,0.413519054,0.085361552
log-sigma-5-0-mm-3D,glrlm,ShortRunEmphasis,0.84480612,0.738149374,0.867528177,0.886507937
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,10.9782106,4.316557441,15.34606212,2.181746032
log-sigma-5-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.089408751,0.15781932,0.070193248,0.562698413
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformity,9.222222222,1,9.634146341,2
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.25617284,0.333333333,0.234979179,0.5
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance,1.182098765,0.666666667,1.588340274,0.25
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,14.22222222,4.666666667,16.43902439,2.5
log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,417.6111111,1484.666667,303.902439,6.5
log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,4716.944444,7752.666667,5728.97561,16.25
log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,41.74585648,321,17.92029133,4.0625
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.120239198,0.453703704,0.124715447,0.625
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformity,6.444444444,1,8.12195122,2
log-sigma-5-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.179012346,0.333333333,0.198096371,0.5
log-sigma-5-0-mm-3D,glszm,SmallAreaEmphasis,0.263805349,0.333738513,0.364414532,0.180555556
log-sigma-5-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,4.317447016,0.336484508,5.388952927,0.451388889
log-sigma-5-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.027846541,0.333392116,0.044020134,0.112847222
log-sigma-5-0-mm-3D,glszm,ZoneEntropy,4.337309211,1.584962501,4.354639432,2
log-sigma-5-0-mm-3D,glszm,ZonePercentage,0.094240838,0.032608696,0.119883041,0.4
log-sigma-5-0-mm-3D,glszm,ZoneVariance,305.0154321,544.2222222,234.3224271,0.25
log-sigma-5-0-mm-3D,ngtdm,Busyness,1.550847462,3.029754348,1.183379858,2.458333333
log-sigma-5-0-mm-3D,ngtdm,Coarseness,0.028910439,0.066011952,0.031605722,0.406779661
log-sigma-5-0-mm-3D,ngtdm,Complexity,4.27974784,1.318914573,4.837481228,0.491666667
log-sigma-5-0-mm-3D,ngtdm,Contrast,0.013733496,0.028619369,0.016925704,0.122916667
log-sigma-5-0-mm-3D,ngtdm,Strength,0.40292486,0.195663197,0.466928021,0.406779661
