"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"diagnostics","Image-interpolated","Maximum","1370.0","1370.0","1370.0","1019.0"
"diagnostics","Mask-interpolated","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
"diagnostics","Mask-interpolated","Size","(23, 23, 67)","(26, 29, 69)","(19, 27, 31)","(15, 15, 17)"
"diagnostics","Mask-interpolated","BoundingBox","(5, 7, 6, 10, 10, 56)","(6, 6, 6, 14, 16, 58)","(6, 6, 6, 7, 15, 20)","(5, 6, 6, 4, 2, 4)"
"diagnostics","Mask-interpolated","VoxelNum","130","230","232","8"
"diagnostics","Mask-interpolated","VolumeNum","6","8","2","1"
"diagnostics","Mask-interpolated","CenterOfMassIndex","(10.784615384615385, 11.476923076923077, 37.792307692307695)","(13.486956521739131, 12.582608695652175, 36.552173913043475)","(8.594827586206897, 13.474137931034482, 14.46551724137931)","(6.5, 6.5, 7.0)"
"diagnostics","Mask-interpolated","CenterOfMass","(-31.71538461538463, -180.02307692307693, 528.3923076923077)","(-32.0130434782609, -179.91739130434783, 525.1521739130435)","(-34.90517241379313, -177.02586206896552, 503.0655172413793)","(-32.000000000000014, -181.0, 515.6)"
"diagnostics","Mask-interpolated","Mean","43.315384615384616","91.9608695652174","649.5172413793103","23.875"
"diagnostics","Mask-interpolated","Minimum","7.0","32.0","96.0","15.0"
"diagnostics","Mask-interpolated","Maximum","111.0","208.0","1370.0","43.0"
"original","shape","Elongation","0.1583091254215489","0.19682325429868525","0.2177759018666043","0.4487948473241431"
"original","shape","Flatness","0.1212603025627803","0.12419277888054764","0.16475339235163802","0.13418320041337797"
"original","shape","LeastAxisLength","6.4049695275407315","7.505280877477767","4.240783703600877","0.7685128583518445"
"original","shape","MajorAxisLength","52.82000285480631","60.4325061821555","25.740190493617558","5.7273403524754825"
"original","shape","Maximum2DDiameterColumn","55.326304774492215","58.54912467321779","10.198039027185569","4.242640687119285"
"original","shape","Maximum2DDiameterRow","52.03844732503075","54.037024344425184","23.323807579381203","3.0"
"original","shape","Maximum2DDiameterSlice","8.602325267042627","9.433981132056603","8.94427190999916","3.1622776601683795"
"original","shape","Maximum3DDiameter","56.32938842203065","58.728187440104094","24.596747752497688","5.0990195135927845"
"original","shape","MeshVolume","74.375","145.04166666666666","211.25","3.8333333333333335"
"original","shape","MinorAxisLength","8.361888456708103","11.89452253219726","5.605593198965758","2.5704008390626383"
